Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:15:29.119677,12:15:33.437577,-1,-1.0
1,12:15:29.119677,12:15:34.476028,1,-1.0
1,12:15:29.119677,12:15:36.496915,-1,-1.0
1,12:15:29.119677,12:15:37.715615,-1,-1.0
1,12:15:29.119677,12:15:40.822662,-1,-1.0
1,12:15:29.119677,12:15:42.806268,-1,-1.0
1,12:15:29.119677,12:15:45.646950,1,-1.0
1,12:15:29.119677,12:15:47.253761,1,-1.0
1,12:15:29.119677,12:15:48.689667,1,-1.0
1,12:15:29.119677,12:15:50.142291,1,-1.0
1,12:15:29.119677,12:15:51.304758,1,-1.0
1,12:15:29.119677,12:15:52.773040,1,-1.0
1,12:15:29.119677,12:15:54.532577,1,-1.0
1,12:15:29.119677,12:15:55.322720,1,-1.0
1,12:15:29.119677,12:15:57.060649,1,-1.0
1,12:15:29.119677,12:15:57.846690,1,-1.0
1,12:15:29.119677,12:15:58.666469,1,-1.0
1,12:15:29.119677,12:15:59.824715,1,-1.0
1,12:15:29.119677,12:16:03.062322,-1,-1.0
1,12:15:29.119677,12:16:04.314764,-1,-1.0
1,12:15:29.119677,12:16:05.496399,-1,-1.0
1,12:15:29.119677,12:16:06.327813,-1,-1.0
1,12:15:29.119677,12:16:07.439212,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:16:29.277804,12:17:25.646815,1,-1.0
2,12:16:29.277804,12:17:26.765819,1,-1.0
