Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:34:07.872575,15:34:13.596993,1,-1.0
1,15:34:07.872575,15:34:13.964107,1,-1.0
1,15:34:07.872575,15:34:14.283071,1,-1.0
1,15:34:07.872575,15:34:14.603694,1,-1.0
1,15:34:07.872575,15:34:14.912683,1,-1.0
1,15:34:07.872575,15:34:15.194477,1,-1.0
1,15:34:07.872575,15:34:15.466065,1,-1.0
1,15:34:07.872575,15:34:15.768969,1,-1.0
1,15:34:07.872575,15:34:16.067232,1,-1.0
1,15:34:07.872575,15:34:16.350490,1,-1.0
1,15:34:07.872575,15:34:16.663014,1,-1.0
1,15:34:07.872575,15:34:16.941394,1,-1.0
1,15:34:07.872575,15:34:17.226429,1,-1.0
1,15:34:07.872575,15:34:17.523568,1,-1.0
1,15:34:07.872575,15:34:17.831354,1,-1.0
1,15:34:07.872575,15:34:18.088745,1,-1.0
1,15:34:07.872575,15:34:21.116159,-1,-1.0
1,15:34:07.872575,15:34:21.476920,-1,-1.0
1,15:34:07.872575,15:34:21.844225,-1,-1.0
1,15:34:07.872575,15:34:22.375435,1,-1.0
1,15:34:07.872575,15:34:22.705086,1,-1.0
1,15:34:07.872575,15:34:22.968601,1,-1.0
1,15:34:07.872575,15:34:23.238838,1,-1.0
1,15:34:07.872575,15:34:23.492503,1,-1.0
1,15:34:07.872575,15:34:23.740002,1,-1.0
1,15:34:07.872575,15:34:23.964342,1,-1.0
1,15:34:07.872575,15:34:24.199739,1,-1.0
1,15:34:07.872575,15:34:24.430390,1,-1.0
1,15:34:07.872575,15:34:24.655851,1,-1.0
1,15:34:07.872575,15:34:24.881604,1,-1.0
1,15:34:07.872575,15:34:25.114403,1,-1.0
1,15:34:07.872575,15:34:25.349985,1,-1.0
1,15:34:07.872575,15:34:25.584367,1,-1.0
1,15:34:07.872575,15:34:25.873355,1,-1.0
1,15:34:07.872575,15:34:27.075365,-1,-1.0
1,15:34:07.872575,15:34:27.434160,-1,-1.0
1,15:34:07.872575,15:34:27.693872,-1,-1.0
1,15:34:07.872575,15:34:27.904911,-1,-1.0
1,15:34:07.872575,15:34:28.128515,-1,-1.0
1,15:34:07.872575,15:34:28.388365,-1,-1.0
1,15:34:07.872575,15:34:28.601272,-1,-1.0
1,15:34:07.872575,15:34:28.818119,-1,-1.0
1,15:34:07.872575,15:34:29.001216,-1,-1.0
1,15:34:07.872575,15:34:29.212161,-1,-1.0
1,15:34:07.872575,15:34:29.414059,-1,-1.0
1,15:34:07.872575,15:34:29.631936,-1,-1.0
1,15:34:07.872575,15:34:29.863573,-1,-1.0
1,15:34:07.872575,15:34:30.068470,-1,-1.0
1,15:34:07.872575,15:34:30.281333,-1,-1.0
1,15:34:07.872575,15:34:30.511202,-1,-1.0
1,15:34:07.872575,15:34:30.730076,-1,-1.0
1,15:34:07.872575,15:34:30.948516,-1,-1.0
