Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:31:05.272246,15:31:06.901022,1,-1.0
1,15:31:05.272246,15:31:09.306647,1,-1.0
1,15:31:05.272246,15:31:10.282153,1,-1.0
1,15:31:05.272246,15:31:11.105155,1,-1.0
1,15:31:05.272246,15:31:12.526766,1,-1.0
1,15:31:05.272246,15:31:13.207040,-1,-1.0
1,15:31:05.272246,15:31:13.950549,-1,-1.0
1,15:31:05.272246,15:31:14.603328,-1,-1.0
1,15:31:05.272246,15:31:15.122336,-1,-1.0
1,15:31:05.272246,15:31:15.707253,-1,-1.0
1,15:31:05.272246,15:31:16.329252,1,-1.0
1,15:31:05.272246,15:31:16.825411,1,-1.0
1,15:31:05.272246,15:31:17.326317,1,-1.0
1,15:31:05.272246,15:31:17.867107,1,-1.0
1,15:31:05.272246,15:31:18.319081,-1,-1.0
1,15:31:05.272246,15:31:18.771927,-1,-1.0
1,15:31:05.272246,15:31:19.253567,-1,-1.0
1,15:31:05.272246,15:31:19.683169,-1,-1.0
1,15:31:05.272246,15:31:20.147924,-1,-1.0
1,15:31:05.272246,15:31:20.605200,-1,-1.0
1,15:31:05.272246,15:31:21.178591,1,-1.0
1,15:31:05.272246,15:31:21.653001,1,-1.0
1,15:31:05.272246,15:31:22.055503,1,-1.0
1,15:31:05.272246,15:31:22.465922,1,-1.0
1,15:31:05.272246,15:31:22.912430,1,-1.0
1,15:31:05.272246,15:31:24.698459,-1,-1.0
1,15:31:05.272246,15:31:25.220811,-1,-1.0
1,15:31:05.272246,15:31:27.535494,1,-1.0
1,15:31:05.272246,15:31:28.016754,1,-1.0
1,15:31:05.272246,15:31:28.397570,1,-1.0
1,15:31:05.272246,15:31:28.826928,1,-1.0
1,15:31:05.272246,15:31:29.238867,1,-1.0
1,15:31:05.272246,15:31:29.644789,1,-1.0
1,15:31:05.272246,15:31:30.055639,1,-1.0
1,15:31:05.272246,15:31:30.452189,1,-1.0
1,15:31:05.272246,15:31:30.987185,1,-1.0
1,15:31:05.272246,15:31:36.468247,-1,-1.0
1,15:31:05.272246,15:31:36.899635,-1,-1.0
1,15:31:05.272246,15:31:37.312790,-1,-1.0
1,15:31:05.272246,15:31:37.760936,-1,-1.0
1,15:31:05.272246,15:31:38.169884,-1,-1.0
1,15:31:05.272246,15:31:38.541011,-1,-1.0
1,15:31:05.272246,15:31:39.020256,-1,-1.0
1,15:31:05.272246,15:31:39.546045,-1,-1.0
1,15:31:05.272246,15:31:40.131103,1,-1.0
1,15:31:05.272246,15:31:40.442933,1,-1.0
1,15:31:05.272246,15:31:40.801393,1,-1.0
1,15:31:05.272246,15:31:41.206895,1,-1.0
1,15:31:05.272246,15:31:41.503884,1,-1.0
1,15:31:05.272246,15:31:41.846021,1,-1.0
1,15:31:05.272246,15:31:42.154451,1,-1.0
1,15:31:05.272246,15:31:42.449159,1,-1.0
1,15:31:05.272246,15:31:42.818063,1,-1.0
1,15:31:05.272246,15:31:43.116375,1,-1.0
1,15:31:05.272246,15:31:43.474314,1,-1.0
1,15:31:05.272246,15:31:43.765949,1,-1.0
1,15:31:05.272246,15:31:44.083119,1,-1.0
1,15:31:05.272246,15:31:44.462708,1,-1.0
1,15:31:05.272246,15:31:45.770941,-1,-1.0
1,15:31:05.272246,15:31:46.200403,-1,-1.0
1,15:31:05.272246,15:31:46.687492,-1,-1.0
1,15:31:05.272246,15:31:47.688213,1,-1.0
1,15:31:05.272246,15:31:48.140883,1,-1.0
1,15:31:05.272246,15:31:48.536968,1,-1.0
1,15:31:05.272246,15:31:48.960007,1,-1.0
1,15:31:05.272246,15:31:49.353817,1,-1.0
1,15:31:05.272246,15:31:49.769434,1,-1.0
1,15:31:05.272246,15:31:50.186502,1,-1.0
1,15:31:05.272246,15:31:55.358682,-1,-1.0
1,15:31:05.272246,15:31:55.824793,-1,-1.0
1,15:31:05.272246,15:31:56.242186,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:31:56.300509,15:31:59.353088,1,-1.0
2,15:31:56.300509,15:32:04.022889,1,-1.0
2,15:31:56.300509,15:32:04.748228,1,-1.0
2,15:31:56.300509,15:32:05.275185,1,-1.0
2,15:31:56.300509,15:32:05.860549,1,-1.0
2,15:31:56.300509,15:32:06.336634,1,-1.0
2,15:31:56.300509,15:32:06.744027,1,-1.0
2,15:31:56.300509,15:32:07.128676,1,-1.0
2,15:31:56.300509,15:32:07.595671,1,-1.0
2,15:31:56.300509,15:32:08.155666,1,-1.0
2,15:31:56.300509,15:32:08.746143,-1,-1.0
2,15:31:56.300509,15:32:09.233586,-1,-1.0
2,15:31:56.300509,15:32:09.686986,-1,-1.0
2,15:31:56.300509,15:32:10.086639,-1,-1.0
2,15:31:56.300509,15:32:11.386319,-1,-1.0
2,15:31:56.300509,15:32:12.325942,-1,-1.0
2,15:31:56.300509,15:32:12.803731,-1,-1.0
2,15:31:56.300509,15:32:13.208052,-1,-1.0
2,15:31:56.300509,15:32:13.544097,-1,-1.0
2,15:31:56.300509,15:32:13.921967,1,-1.0
2,15:31:56.300509,15:32:14.337717,1,-1.0
2,15:31:56.300509,15:32:14.754006,1,-1.0
2,15:31:56.300509,15:32:15.139790,1,-1.0
