Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:47:06.866720,15:47:18.165434,1,-1.0
1,15:47:06.866720,15:47:22.115102,-1,-1.0
1,15:47:06.866720,15:47:22.575872,-1,-1.0
1,15:47:06.866720,15:47:23.943944,1,-1.0
1,15:47:06.866720,15:47:24.288309,1,-1.0
1,15:47:06.866720,15:47:24.581588,1,-1.0
1,15:47:06.866720,15:47:24.881041,1,-1.0
1,15:47:06.866720,15:47:25.131844,1,-1.0
1,15:47:06.866720,15:47:27.548576,1,-1.0
1,15:47:06.866720,15:47:27.845843,1,-1.0
1,15:47:06.866720,15:47:28.117030,1,-1.0
1,15:47:06.866720,15:47:28.359472,1,-1.0
1,15:47:06.866720,15:47:28.629903,1,-1.0
1,15:47:06.866720,15:47:28.918698,1,-1.0
1,15:47:06.866720,15:47:29.171171,1,-1.0
1,15:47:06.866720,15:47:29.449730,1,-1.0
1,15:47:06.866720,15:47:29.704175,1,-1.0
1,15:47:06.866720,15:47:29.955050,1,-1.0
1,15:47:06.866720,15:47:30.224452,1,-1.0
1,15:47:06.866720,15:47:30.503590,1,-1.0
1,15:47:06.866720,15:47:31.325841,1,-1.0
1,15:47:06.866720,15:47:31.633768,1,-1.0
1,15:47:06.866720,15:47:31.898536,1,-1.0
1,15:47:06.866720,15:47:32.206340,1,-1.0
1,15:47:06.866720,15:47:32.456867,1,-1.0
1,15:47:06.866720,15:47:32.704309,1,-1.0
1,15:47:06.866720,15:47:32.955673,1,-1.0
1,15:47:06.866720,15:47:33.240501,1,-1.0
1,15:47:06.866720,15:47:33.511449,1,-1.0
1,15:47:06.866720,15:47:33.858821,1,-1.0
1,15:47:06.866720,15:47:34.281981,1,-1.0
1,15:47:06.866720,15:47:34.542483,1,-1.0
