Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:31:40.030946,18:31:40.692397,-1,-1.0
1,18:31:40.030946,18:31:40.905387,-1,-1.0
1,18:31:40.030946,18:31:41.085438,-1,-1.0
1,18:31:40.030946,18:31:41.267500,1,-1.0
1,18:31:40.030946,18:31:41.449884,1,-1.0
1,18:31:40.030946,18:31:41.636737,1,-1.0
1,18:31:40.030946,18:31:41.831655,1,-1.0
1,18:31:40.030946,18:31:42.010872,1,-1.0
1,18:31:40.030946,18:31:42.176880,1,-1.0
1,18:31:40.030946,18:31:42.344938,1,-1.0
1,18:31:40.030946,18:31:42.511914,1,-1.0
1,18:31:40.030946,18:31:42.677023,1,-1.0
1,18:31:40.030946,18:31:42.847936,-1,-1.0
1,18:31:40.030946,18:31:43.035208,-1,-1.0
1,18:31:40.030946,18:31:43.217840,-1,-1.0
1,18:31:40.030946,18:31:43.395335,-1,-1.0
1,18:31:40.030946,18:31:43.563285,-1,-1.0
1,18:31:40.030946,18:31:43.747599,-1,-1.0
1,18:31:40.030946,18:31:43.930734,-1,-1.0
1,18:31:40.030946,18:31:44.117868,-1,-1.0
1,18:31:40.030946,18:31:44.295896,-1,-1.0
1,18:31:40.030946,18:31:44.480125,-1,-1.0
1,18:31:40.030946,18:31:44.667337,-1,-1.0
1,18:31:40.030946,18:31:44.854336,-1,-1.0
1,18:31:40.030946,18:31:45.031478,1,-1.0
1,18:31:40.030946,18:31:45.214592,1,-1.0
1,18:31:40.030946,18:31:45.399672,1,-1.0
1,18:31:40.030946,18:31:45.579631,1,-1.0
1,18:31:40.030946,18:31:45.766735,1,-1.0
1,18:31:40.030946,18:31:45.943835,1,-1.0
1,18:31:40.030946,18:31:46.115993,1,-1.0
1,18:31:40.030946,18:31:46.299316,-1,-1.0
1,18:31:40.030946,18:31:46.482259,-1,-1.0
1,18:31:40.030946,18:31:46.668153,-1,-1.0
1,18:31:40.030946,18:31:46.851208,-1,-1.0
1,18:31:40.030946,18:31:47.032385,-1,-1.0
1,18:31:40.030946,18:31:47.235317,-1,-1.0
1,18:31:40.030946,18:31:47.414542,-1,-1.0
1,18:31:40.030946,18:31:47.599454,-1,-1.0
1,18:31:40.030946,18:31:47.784514,-1,-1.0
1,18:31:40.030946,18:31:47.967557,-1,-1.0
1,18:31:40.030946,18:31:48.145841,-1,-1.0
1,18:31:40.030946,18:31:48.327858,-1,-1.0
1,18:31:40.030946,18:31:48.496891,1,-1.0
1,18:31:40.030946,18:31:48.684940,1,-1.0
1,18:31:40.030946,18:31:48.866035,1,-1.0
1,18:31:40.030946,18:31:49.050032,1,-1.0
1,18:31:40.030946,18:31:49.234121,1,-1.0
1,18:31:40.030946,18:31:49.418179,1,-1.0
1,18:31:40.030946,18:31:49.598216,1,-1.0
1,18:31:40.030946,18:31:49.780432,-1,-1.0
1,18:31:40.030946,18:31:49.961304,1,-1.0
1,18:31:40.030946,18:31:50.128572,1,-1.0
1,18:31:40.030946,18:31:50.297434,1,-1.0
1,18:31:40.030946,18:31:50.478619,1,-1.0
1,18:31:40.030946,18:31:50.646575,1,-1.0
1,18:31:40.030946,18:31:50.831855,1,-1.0
1,18:31:40.030946,18:31:51.011922,1,-1.0
1,18:31:40.030946,18:31:51.182123,1,-1.0
1,18:31:40.030946,18:31:51.366235,1,-1.0
1,18:31:40.030946,18:31:51.550311,-1,-1.0
1,18:31:40.030946,18:31:51.733386,-1,-1.0
1,18:31:40.030946,18:31:51.915752,-1,-1.0
1,18:31:40.030946,18:31:52.101817,-1,-1.0
1,18:31:40.030946,18:31:52.281917,-1,-1.0
1,18:31:40.030946,18:31:52.468945,-1,-1.0
1,18:31:40.030946,18:31:52.647918,-1,-1.0
1,18:31:40.030946,18:31:52.832061,-1,-1.0
1,18:31:40.030946,18:31:53.017320,-1,-1.0
1,18:31:40.030946,18:31:53.196489,-1,-1.0
1,18:31:40.030946,18:31:53.382463,-1,-1.0
1,18:31:40.030946,18:31:53.567744,-1,-1.0
1,18:31:40.030946,18:31:53.747808,-1,-1.0
1,18:31:40.030946,18:31:53.931948,-1,-1.0
1,18:31:40.030946,18:31:54.115998,-1,-1.0
1,18:31:40.030946,18:31:54.299982,-1,-1.0
1,18:31:40.030946,18:31:54.480370,1,-1.0
1,18:31:40.030946,18:31:54.667906,1,-1.0
1,18:31:40.030946,18:31:54.841203,1,-1.0
1,18:31:40.030946,18:31:55.016257,-1,-1.0
1,18:31:40.030946,18:31:55.202380,-1,-1.0
1,18:31:40.030946,18:31:55.383125,-1,-1.0
1,18:31:40.030946,18:31:55.563338,-1,-1.0
1,18:31:40.030946,18:31:55.744282,-1,-1.0
1,18:31:40.030946,18:31:55.910265,1,-1.0
1,18:31:40.030946,18:31:56.083251,1,-1.0
1,18:31:40.030946,18:31:56.265453,1,-1.0
1,18:31:40.030946,18:31:56.447630,1,-1.0
1,18:31:40.030946,18:31:56.635534,1,-1.0
1,18:31:40.030946,18:31:56.816506,1,-1.0
1,18:31:40.030946,18:31:57.001613,1,-1.0
1,18:31:40.030946,18:31:57.218899,1,-1.0
1,18:31:40.030946,18:31:57.399632,1,-1.0
1,18:31:40.030946,18:31:57.585657,1,-1.0
1,18:31:40.030946,18:31:57.763923,-1,-1.0
1,18:31:40.030946,18:31:57.949823,-1,-1.0
1,18:31:40.030946,18:31:58.131743,-1,-1.0
1,18:31:40.030946,18:31:58.318969,-1,-1.0
1,18:31:40.030946,18:31:58.497605,-1,-1.0
1,18:31:40.030946,18:31:58.685043,-1,-1.0
1,18:31:40.030946,18:31:58.867971,-1,-1.0
1,18:31:40.030946,18:31:59.048149,-1,-1.0
1,18:31:40.030946,18:31:59.232265,-1,-1.0
1,18:31:40.030946,18:31:59.415466,-1,-1.0
1,18:31:40.030946,18:31:59.600506,-1,-1.0
1,18:31:40.030946,18:31:59.783630,-1,-1.0
1,18:31:40.030946,18:31:59.963720,-1,-1.0
1,18:31:40.030946,18:32:00.149978,-1,-1.0
1,18:31:40.030946,18:32:00.331289,-1,-1.0
1,18:31:40.030946,18:32:00.517350,1,-1.0
1,18:31:40.030946,18:32:00.703464,1,-1.0
1,18:31:40.030946,18:32:00.883508,1,-1.0
1,18:31:40.030946,18:32:01.067528,1,-1.0
1,18:31:40.030946,18:32:01.239663,1,-1.0
1,18:31:40.030946,18:32:01.413698,1,-1.0
1,18:31:40.030946,18:32:01.619805,1,-1.0
1,18:31:40.030946,18:32:01.771080,1,-1.0
1,18:31:40.030946,18:32:01.971076,1,-1.0
1,18:31:40.030946,18:32:02.118063,1,-1.0
1,18:31:40.030946,18:32:02.285236,1,-1.0
1,18:31:40.030946,18:32:02.469406,1,-1.0
1,18:31:40.030946,18:32:02.673549,1,-1.0
1,18:31:40.030946,18:32:02.815550,1,-1.0
1,18:31:40.030946,18:32:02.999474,1,-1.0
1,18:31:40.030946,18:32:03.180756,1,-1.0
1,18:31:40.030946,18:32:03.368233,1,-1.0
1,18:31:40.030946,18:32:03.537142,1,-1.0
1,18:31:40.030946,18:32:03.714156,1,-1.0
1,18:31:40.030946,18:32:03.899372,1,-1.0
1,18:31:40.030946,18:32:04.084443,1,-1.0
1,18:31:40.030946,18:32:04.267515,1,-1.0
1,18:31:40.030946,18:32:04.448556,1,-1.0
1,18:31:40.030946,18:32:04.631707,1,-1.0
1,18:31:40.030946,18:32:04.814775,1,-1.0
1,18:31:40.030946,18:32:04.998883,1,-1.0
1,18:31:40.030946,18:32:05.184295,1,-1.0
1,18:31:40.030946,18:32:05.364384,1,-1.0
1,18:31:40.030946,18:32:05.548501,1,-1.0
1,18:31:40.030946,18:32:05.731714,1,-1.0
1,18:31:40.030946,18:32:05.917984,1,-1.0
1,18:31:40.030946,18:32:06.100080,1,-1.0
1,18:31:40.030946,18:32:06.312148,1,-1.0
1,18:31:40.030946,18:32:06.483019,1,-1.0
1,18:31:40.030946,18:32:06.671948,1,-1.0
1,18:31:40.030946,18:32:06.850892,1,-1.0
1,18:31:40.030946,18:32:07.032306,1,-1.0
1,18:31:40.030946,18:32:07.215321,1,-1.0
1,18:31:40.030946,18:32:07.397156,1,-1.0
1,18:31:40.030946,18:32:07.583978,1,-1.0
1,18:31:40.030946,18:32:07.765939,1,-1.0
1,18:31:40.030946,18:32:07.947333,1,-1.0
1,18:31:40.030946,18:32:08.130660,1,-1.0
1,18:31:40.030946,18:32:08.317247,1,-1.0
1,18:31:40.030946,18:32:08.498172,-1,-1.0
1,18:31:40.030946,18:32:08.684233,-1,-1.0
1,18:31:40.030946,18:32:08.866367,-1,-1.0
1,18:31:40.030946,18:32:09.046996,-1,-1.0
1,18:31:40.030946,18:32:09.233093,-1,-1.0
1,18:31:40.030946,18:32:09.412417,-1,-1.0
1,18:31:40.030946,18:32:09.583404,-1,-1.0
1,18:31:40.030946,18:32:09.766656,-1,-1.0
1,18:31:40.030946,18:32:09.948764,-1,-1.0
1,18:31:40.030946,18:32:10.132862,-1,-1.0
1,18:31:40.030946,18:32:10.314141,-1,-1.0
1,18:31:40.030946,18:32:10.502083,-1,-1.0
1,18:31:40.030946,18:32:10.685226,-1,-1.0
1,18:31:40.030946,18:32:10.868406,-1,-1.0
1,18:31:40.030946,18:32:11.048476,-1,-1.0
1,18:31:40.030946,18:32:11.233667,-1,-1.0
1,18:31:40.030946,18:32:11.417705,-1,-1.0
1,18:31:40.030946,18:32:11.601796,-1,-1.0
1,18:31:40.030946,18:32:11.781835,-1,-1.0
1,18:31:40.030946,18:32:11.965055,-1,-1.0
1,18:31:40.030946,18:32:12.150131,-1,-1.0
1,18:31:40.030946,18:32:12.333072,-1,-1.0
1,18:31:40.030946,18:32:12.512051,-1,-1.0
1,18:31:40.030946,18:32:12.681126,-1,-1.0
1,18:31:40.030946,18:32:12.867146,-1,-1.0
1,18:31:40.030946,18:32:13.052217,-1,-1.0
1,18:31:40.030946,18:32:13.233228,-1,-1.0
1,18:31:40.030946,18:32:13.413268,-1,-1.0
1,18:31:40.030946,18:32:13.598378,-1,-1.0
1,18:31:40.030946,18:32:13.782418,-1,-1.0
1,18:31:40.030946,18:32:13.964403,-1,-1.0
1,18:31:40.030946,18:32:14.150494,-1,-1.0
1,18:31:40.030946,18:32:14.330418,-1,-1.0
1,18:31:40.030946,18:32:14.520300,-1,-1.0
1,18:31:40.030946,18:32:14.702198,-1,-1.0
1,18:31:40.030946,18:32:14.881197,-1,-1.0
1,18:31:40.030946,18:32:15.068358,-1,-1.0
1,18:31:40.030946,18:32:15.252626,-1,-1.0
1,18:31:40.030946,18:32:15.433691,1,-1.0
1,18:31:40.030946,18:32:15.639731,1,-1.0
1,18:31:40.030946,18:32:15.808733,1,-1.0
1,18:31:40.030946,18:32:15.953934,1,-1.0
1,18:31:40.030946,18:32:16.152176,1,-1.0
1,18:31:40.030946,18:32:16.330251,1,-1.0
1,18:31:40.030946,18:32:16.515446,1,-1.0
1,18:31:40.030946,18:32:16.699016,1,-1.0
1,18:31:40.030946,18:32:16.883186,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:32:16.893163,18:32:17.102109,1,-1.0
