Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:13:40.696382,10:13:41.385083,-1,-1.0
1,10:13:40.696382,10:13:41.584995,-1,-1.0
1,10:13:40.696382,10:13:41.766076,-1,-1.0
1,10:13:40.696382,10:13:41.949137,-1,-1.0
1,10:13:40.696382,10:13:42.177649,-1,-1.0
1,10:13:40.696382,10:13:42.360765,1,-1.0
1,10:13:40.696382,10:13:42.545852,1,-1.0
1,10:13:40.696382,10:13:42.723907,1,-1.0
1,10:13:40.696382,10:13:42.913951,1,-1.0
1,10:13:40.696382,10:13:43.099015,1,-1.0
1,10:13:40.696382,10:13:43.283039,1,-1.0
1,10:13:40.696382,10:13:43.461005,1,-1.0
1,10:13:40.696382,10:13:43.648269,1,-1.0
1,10:13:40.696382,10:13:43.826170,-1,-1.0
1,10:13:40.696382,10:13:44.011316,-1,-1.0
1,10:13:40.696382,10:13:44.197032,-1,-1.0
1,10:13:40.696382,10:13:44.382416,-1,-1.0
1,10:13:40.696382,10:13:44.565415,-1,-1.0
1,10:13:40.696382,10:13:44.746481,-1,-1.0
1,10:13:40.696382,10:13:44.928656,-1,-1.0
1,10:13:40.696382,10:13:45.114047,-1,-1.0
1,10:13:40.696382,10:13:45.298150,-1,-1.0
1,10:13:40.696382,10:13:45.479028,-1,-1.0
1,10:13:40.696382,10:13:45.664066,-1,-1.0
1,10:13:40.696382,10:13:45.846042,-1,-1.0
1,10:13:40.696382,10:13:46.026795,-1,-1.0
1,10:13:40.696382,10:13:46.210637,-1,-1.0
1,10:13:40.696382,10:13:46.393429,-1,-1.0
1,10:13:40.696382,10:13:46.578509,-1,-1.0
1,10:13:40.696382,10:13:46.763532,-1,-1.0
1,10:13:40.696382,10:13:46.946871,-1,-1.0
1,10:13:40.696382,10:13:47.131259,-1,-1.0
1,10:13:40.696382,10:13:47.335267,-1,-1.0
1,10:13:40.696382,10:13:47.478279,1,-1.0
1,10:13:40.696382,10:13:47.661309,1,-1.0
1,10:13:40.696382,10:13:47.847346,1,-1.0
1,10:13:40.696382,10:13:48.026264,1,-1.0
1,10:13:40.696382,10:13:48.213981,1,-1.0
1,10:13:40.696382,10:13:48.392978,1,-1.0
1,10:13:40.696382,10:13:48.579270,-1,-1.0
1,10:13:40.696382,10:13:48.762329,-1,-1.0
1,10:13:40.696382,10:13:48.947155,-1,-1.0
1,10:13:40.696382,10:13:49.129927,-1,-1.0
1,10:13:40.696382,10:13:49.329075,-1,-1.0
1,10:13:40.696382,10:13:49.516056,1,-1.0
1,10:13:40.696382,10:13:49.698362,1,-1.0
1,10:13:40.696382,10:13:49.879850,1,-1.0
1,10:13:40.696382,10:13:50.079815,1,-1.0
1,10:13:40.696382,10:13:50.263208,1,-1.0
1,10:13:40.696382,10:13:50.446092,1,-1.0
1,10:13:40.696382,10:13:50.630136,1,-1.0
1,10:13:40.696382,10:13:50.813167,1,-1.0
1,10:13:40.696382,10:13:50.997101,1,-1.0
1,10:13:40.696382,10:13:51.179795,-1,-1.0
1,10:13:40.696382,10:13:51.364177,-1,-1.0
1,10:13:40.696382,10:13:51.547862,-1,-1.0
1,10:13:40.696382,10:13:51.730075,-1,-1.0
1,10:13:40.696382,10:13:51.909900,-1,-1.0
1,10:13:40.696382,10:13:52.096985,-1,-1.0
1,10:13:40.696382,10:13:52.284669,-1,-1.0
1,10:13:40.696382,10:13:52.461784,-1,-1.0
1,10:13:40.696382,10:13:52.651395,-1,-1.0
1,10:13:40.696382,10:13:52.831915,-1,-1.0
1,10:13:40.696382,10:13:53.013993,-1,-1.0
1,10:13:40.696382,10:13:53.195393,-1,-1.0
1,10:13:40.696382,10:13:53.379245,-1,-1.0
1,10:13:40.696382,10:13:53.564216,-1,-1.0
1,10:13:40.696382,10:13:53.747328,1,-1.0
1,10:13:40.696382,10:13:53.929337,1,-1.0
1,10:13:40.696382,10:13:54.115200,1,-1.0
1,10:13:40.696382,10:13:54.299400,-1,-1.0
1,10:13:40.696382,10:13:54.479501,-1,-1.0
1,10:13:40.696382,10:13:54.677795,-1,-1.0
1,10:13:40.696382,10:13:54.879677,1,-1.0
1,10:13:40.696382,10:13:55.065075,1,-1.0
1,10:13:40.696382,10:13:55.247155,1,-1.0
1,10:13:40.696382,10:13:55.458134,1,-1.0
1,10:13:40.696382,10:13:55.648006,1,-1.0
1,10:13:40.696382,10:13:55.828897,1,-1.0
1,10:13:40.696382,10:13:56.017647,1,-1.0
1,10:13:40.696382,10:13:56.214682,1,-1.0
1,10:13:40.696382,10:13:56.396883,-1,-1.0
1,10:13:40.696382,10:13:56.580969,-1,-1.0
1,10:13:40.696382,10:13:56.765195,-1,-1.0
1,10:13:40.696382,10:13:56.946396,-1,-1.0
1,10:13:40.696382,10:13:57.128316,-1,-1.0
1,10:13:40.696382,10:13:57.315157,-1,-1.0
1,10:13:40.696382,10:13:57.497263,-1,-1.0
1,10:13:40.696382,10:13:57.680470,-1,-1.0
