Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:19:01.649685,15:19:03.456921,1,-1.0
1,15:19:01.649685,15:19:05.234375,1,-1.0
1,15:19:01.649685,15:19:06.187274,-1,-1.0
1,15:19:01.649685,15:19:07.551875,-1,-1.0
1,15:19:01.649685,15:19:09.963732,-1,-1.0
1,15:19:01.649685,15:19:10.982984,-1,-1.0
1,15:19:01.649685,15:19:15.811244,1,-1.0
1,15:19:01.649685,15:19:16.964168,1,-1.0
1,15:19:01.649685,15:19:18.020897,1,-1.0
1,15:19:01.649685,15:19:18.552534,1,-1.0
1,15:19:01.649685,15:19:19.079111,1,-1.0
1,15:19:01.649685,15:19:19.492359,1,-1.0
1,15:19:01.649685,15:19:19.921118,1,-1.0
1,15:19:01.649685,15:19:20.291582,1,-1.0
1,15:19:01.649685,15:19:20.589762,1,-1.0
1,15:19:01.649685,15:19:20.878196,1,-1.0
1,15:19:01.649685,15:19:21.158138,1,-1.0
1,15:19:01.649685,15:19:21.470671,1,-1.0
1,15:19:01.649685,15:19:21.994005,1,-1.0
1,15:19:01.649685,15:19:23.498479,1,-1.0
1,15:19:01.649685,15:19:24.364886,-1,-1.0
1,15:19:01.649685,15:19:24.942682,-1,-1.0
1,15:19:01.649685,15:19:31.711036,1,-1.0
1,15:19:01.649685,15:19:32.279862,1,-1.0
1,15:19:01.649685,15:19:32.886204,-1,-1.0
1,15:19:01.649685,15:19:33.359288,-1,-1.0
1,15:19:01.649685,15:19:33.843604,1,-1.0
1,15:19:01.649685,15:19:34.380741,1,-1.0
1,15:19:01.649685,15:19:34.874194,1,-1.0
1,15:19:01.649685,15:19:35.314068,1,-1.0
1,15:19:01.649685,15:19:35.933209,1,-1.0
1,15:19:01.649685,15:19:37.398147,1,-1.0
1,15:19:01.649685,15:19:38.514427,1,-1.0
1,15:19:01.649685,15:19:39.046944,1,-1.0
1,15:19:01.649685,15:19:39.498195,1,-1.0
1,15:19:01.649685,15:19:41.677647,1,-1.0
1,15:19:01.649685,15:19:42.253688,1,-1.0
1,15:19:01.649685,15:19:42.777245,1,-1.0
1,15:19:01.649685,15:19:43.198638,1,-1.0
1,15:19:01.649685,15:19:43.679459,-1,-1.0
1,15:19:01.649685,15:19:44.016261,-1,-1.0
1,15:19:01.649685,15:19:44.401401,1,-1.0
1,15:19:01.649685,15:19:44.749416,1,-1.0
1,15:19:01.649685,15:19:45.217453,-1,-1.0
1,15:19:01.649685,15:19:45.675277,-1,-1.0
1,15:19:01.649685,15:19:46.166747,-1,-1.0
1,15:19:01.649685,15:19:46.775605,1,-1.0
1,15:19:01.649685,15:19:47.158096,1,-1.0
1,15:19:01.649685,15:19:47.524900,1,-1.0
1,15:19:01.649685,15:19:47.868589,1,-1.0
1,15:19:01.649685,15:19:48.238651,1,-1.0
1,15:19:01.649685,15:19:48.623716,1,-1.0
1,15:19:01.649685,15:19:48.947286,1,-1.0
