Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:48:33.223659,15:48:34.358729,1,-1.0
1,15:48:33.223659,15:48:35.915719,1,-1.0
1,15:48:33.223659,15:48:36.424722,1,-1.0
1,15:48:33.223659,15:48:36.965247,1,-1.0
1,15:48:33.223659,15:48:38.091709,-1,-1.0
1,15:48:33.223659,15:48:38.516222,-1,-1.0
1,15:48:33.223659,15:48:38.985476,-1,-1.0
1,15:48:33.223659,15:48:39.435882,-1,-1.0
1,15:48:33.223659,15:48:39.841984,-1,-1.0
1,15:48:33.223659,15:48:40.315956,-1,-1.0
1,15:48:33.223659,15:48:40.779059,-1,-1.0
1,15:48:33.223659,15:48:41.381833,-1,-1.0
1,15:48:33.223659,15:48:44.455301,1,-1.0
1,15:48:33.223659,15:48:44.823674,1,-1.0
1,15:48:33.223659,15:48:45.253158,1,-1.0
1,15:48:33.223659,15:48:45.727642,1,-1.0
1,15:48:33.223659,15:48:46.163526,1,-1.0
1,15:48:33.223659,15:48:46.585613,1,-1.0
1,15:48:33.223659,15:48:46.983348,1,-1.0
1,15:48:33.223659,15:48:47.424853,1,-1.0
1,15:48:33.223659,15:48:47.863756,1,-1.0
1,15:48:33.223659,15:48:48.308835,1,-1.0
1,15:48:33.223659,15:48:49.126976,1,-1.0
1,15:48:33.223659,15:48:49.493455,1,-1.0
1,15:48:33.223659,15:48:49.752103,1,-1.0
1,15:48:33.223659,15:48:50.053022,1,-1.0
1,15:48:33.223659,15:48:50.341677,1,-1.0
1,15:48:33.223659,15:48:50.600413,1,-1.0
1,15:48:33.223659,15:48:50.878596,1,-1.0
1,15:48:33.223659,15:48:51.136271,1,-1.0
1,15:48:33.223659,15:48:51.405424,1,-1.0
1,15:48:33.223659,15:48:51.659702,1,-1.0
1,15:48:33.223659,15:48:51.928809,1,-1.0
1,15:48:33.223659,15:48:52.246208,1,-1.0
1,15:48:33.223659,15:48:52.634215,1,-1.0
1,15:48:33.223659,15:48:53.171021,-1,-1.0
1,15:48:33.223659,15:48:53.521752,-1,-1.0
1,15:48:33.223659,15:48:53.882592,-1,-1.0
1,15:48:33.223659,15:48:54.186100,-1,-1.0
1,15:48:33.223659,15:48:54.458031,-1,-1.0
1,15:48:33.223659,15:48:54.796683,-1,-1.0
1,15:48:33.223659,15:48:55.025795,-1,-1.0
1,15:48:33.223659,15:48:55.312459,-1,-1.0
1,15:48:33.223659,15:48:55.887693,-1,-1.0
1,15:48:33.223659,15:48:56.311795,-1,-1.0
1,15:48:33.223659,15:48:57.158420,-1,-1.0
1,15:48:33.223659,15:48:59.327891,1,-1.0
1,15:48:33.223659,15:49:00.558899,-1,-1.0
1,15:48:33.223659,15:49:00.830730,-1,-1.0
1,15:48:33.223659,15:49:01.076525,-1,-1.0
1,15:48:33.223659,15:49:01.297550,-1,-1.0
1,15:48:33.223659,15:49:01.502611,-1,-1.0
1,15:48:33.223659,15:49:01.745184,-1,-1.0
1,15:48:33.223659,15:49:02.199866,-1,-1.0
1,15:48:33.223659,15:49:02.473014,-1,-1.0
1,15:48:33.223659,15:49:02.965050,-1,-1.0
1,15:48:33.223659,15:49:03.264788,-1,-1.0
1,15:48:33.223659,15:49:03.573549,-1,-1.0
1,15:48:33.223659,15:49:04.453088,1,-1.0
1,15:48:33.223659,15:49:04.737508,1,-1.0
1,15:48:33.223659,15:49:05.026916,1,-1.0
1,15:48:33.223659,15:49:05.315029,1,-1.0
1,15:48:33.223659,15:49:05.595571,1,-1.0
1,15:48:33.223659,15:49:05.871002,1,-1.0
1,15:48:33.223659,15:49:06.154792,1,-1.0
1,15:48:33.223659,15:49:06.490894,1,-1.0
1,15:48:33.223659,15:49:06.673945,1,-1.0
1,15:48:33.223659,15:49:06.991586,1,-1.0
1,15:48:33.223659,15:49:07.250266,1,-1.0
1,15:48:33.223659,15:49:07.521618,1,-1.0
1,15:48:33.223659,15:49:07.769066,1,-1.0
1,15:48:33.223659,15:49:08.044592,1,-1.0
1,15:48:33.223659,15:49:08.328430,1,-1.0
1,15:48:33.223659,15:49:08.590253,1,-1.0
1,15:48:33.223659,15:49:08.847270,1,-1.0
1,15:48:33.223659,15:49:09.105362,1,-1.0
1,15:48:33.223659,15:49:09.347037,1,-1.0
1,15:48:33.223659,15:49:09.585093,1,-1.0
1,15:48:33.223659,15:49:09.835924,1,-1.0
1,15:48:33.223659,15:49:10.108947,1,-1.0
1,15:48:33.223659,15:49:10.394075,1,-1.0
1,15:48:33.223659,15:49:10.674313,1,-1.0
1,15:48:33.223659,15:49:10.953134,1,-1.0
1,15:48:33.223659,15:49:11.184646,1,-1.0
1,15:48:33.223659,15:49:11.457721,1,-1.0
1,15:48:33.223659,15:49:11.698809,1,-1.0
1,15:48:33.223659,15:49:11.944957,1,-1.0
1,15:48:33.223659,15:49:12.218193,1,-1.0
1,15:48:33.223659,15:49:12.485922,1,-1.0
1,15:48:33.223659,15:49:12.749717,1,-1.0
1,15:48:33.223659,15:49:13.015330,1,-1.0
1,15:48:33.223659,15:49:13.301900,1,-1.0
1,15:48:33.223659,15:49:13.569885,1,-1.0
1,15:48:33.223659,15:49:13.852807,1,-1.0
1,15:48:33.223659,15:49:14.127584,1,-1.0
1,15:48:33.223659,15:49:14.403364,1,-1.0
1,15:48:33.223659,15:49:14.688712,1,-1.0
1,15:48:33.223659,15:49:14.973397,1,-1.0
1,15:48:33.223659,15:49:15.265356,1,-1.0
1,15:48:33.223659,15:49:16.016049,1,-1.0
1,15:48:33.223659,15:49:16.349482,1,-1.0
1,15:48:33.223659,15:49:16.577029,1,-1.0
1,15:48:33.223659,15:49:16.838802,1,-1.0
1,15:48:33.223659,15:49:19.126463,-1,-1.0
1,15:48:33.223659,15:49:19.440396,-1,-1.0
1,15:48:33.223659,15:49:19.686315,-1,-1.0
1,15:48:33.223659,15:49:19.951134,-1,-1.0
1,15:48:33.223659,15:49:20.329000,-1,-1.0
1,15:48:33.223659,15:49:20.539064,-1,-1.0
1,15:48:33.223659,15:49:20.808889,-1,-1.0
1,15:48:33.223659,15:49:21.014535,-1,-1.0
1,15:48:33.223659,15:49:21.620264,-1,-1.0
1,15:48:33.223659,15:49:24.019506,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:49:25.599645,15:49:25.993932,-1,-1.0
2,15:49:25.599645,15:49:27.631157,1,-1.0
2,15:49:25.599645,15:49:28.991367,1,-1.0
2,15:49:25.599645,15:49:29.281097,1,-1.0
2,15:49:25.599645,15:49:29.552569,1,-1.0
2,15:49:25.599645,15:49:29.820017,1,-1.0
2,15:49:25.599645,15:49:30.105789,1,-1.0
2,15:49:25.599645,15:49:30.358079,1,-1.0
2,15:49:25.599645,15:49:30.620546,1,-1.0
2,15:49:25.599645,15:49:30.928923,1,-1.0
2,15:49:25.599645,15:49:31.185091,1,-1.0
2,15:49:25.599645,15:49:31.461827,1,-1.0
2,15:49:25.599645,15:49:31.744298,1,-1.0
2,15:49:25.599645,15:49:32.013063,1,-1.0
2,15:49:25.599645,15:49:32.288310,1,-1.0
2,15:49:25.599645,15:49:32.574177,1,-1.0
2,15:49:25.599645,15:49:32.916169,1,-1.0
2,15:49:25.599645,15:49:33.169891,1,-1.0
2,15:49:25.599645,15:49:33.479905,1,-1.0
2,15:49:25.599645,15:49:37.735179,-1,-1.0
2,15:49:25.599645,15:49:38.000306,-1,-1.0
2,15:49:25.599645,15:49:38.288496,-1,-1.0
2,15:49:25.599645,15:49:38.527429,-1,-1.0
2,15:49:25.599645,15:49:38.780975,-1,-1.0
2,15:49:25.599645,15:49:39.004202,-1,-1.0
2,15:49:25.599645,15:49:39.248593,-1,-1.0
2,15:49:25.599645,15:49:39.489918,-1,-1.0
2,15:49:25.599645,15:49:39.769116,-1,-1.0
2,15:49:25.599645,15:49:39.974393,-1,-1.0
2,15:49:25.599645,15:49:44.995432,-1,-1.0
2,15:49:25.599645,15:49:45.225431,-1,-1.0
2,15:49:25.599645,15:49:45.520978,-1,-1.0
2,15:49:25.599645,15:49:45.774456,-1,-1.0
2,15:49:25.599645,15:49:46.002929,-1,-1.0
2,15:49:25.599645,15:49:46.215220,-1,-1.0
2,15:49:25.599645,15:49:46.624855,-1,-1.0
2,15:49:25.599645,15:49:46.844163,-1,-1.0
2,15:49:25.599645,15:49:47.049233,-1,-1.0
2,15:49:25.599645,15:49:47.267452,-1,-1.0
2,15:49:25.599645,15:49:47.585156,-1,-1.0
2,15:49:25.599645,15:49:47.812538,-1,-1.0
2,15:49:25.599645,15:49:48.040111,-1,-1.0
2,15:49:25.599645,15:49:48.241000,-1,-1.0
2,15:49:25.599645,15:49:48.470242,-1,-1.0
2,15:49:25.599645,15:49:49.164439,1,-1.0
2,15:49:25.599645,15:49:49.462566,1,-1.0
2,15:49:25.599645,15:49:49.678189,1,-1.0
2,15:49:25.599645,15:49:49.903944,1,-1.0
2,15:49:25.599645,15:49:50.130355,1,-1.0
2,15:49:25.599645,15:49:50.375096,1,-1.0
2,15:49:25.599645,15:49:50.606625,1,-1.0
2,15:49:25.599645,15:49:50.849881,1,-1.0
2,15:49:25.599645,15:49:51.113408,1,-1.0
2,15:49:25.599645,15:49:51.350438,1,-1.0
2,15:49:25.599645,15:49:51.595623,1,-1.0
2,15:49:25.599645,15:49:51.864974,1,-1.0
2,15:49:25.599645,15:49:52.121350,1,-1.0
2,15:49:25.599645,15:49:52.378737,1,-1.0
2,15:49:25.599645,15:49:52.615574,1,-1.0
