Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:28:02.395693,18:28:03.290550,1,-1.0
1,18:28:02.395693,18:28:03.553474,1,-1.0
1,18:28:02.395693,18:28:03.763427,1,-1.0
1,18:28:02.395693,18:28:03.984091,1,-1.0
1,18:28:02.395693,18:28:04.196014,-1,-1.0
1,18:28:02.395693,18:28:04.410984,-1,-1.0
1,18:28:02.395693,18:28:04.606940,-1,-1.0
1,18:28:02.395693,18:28:04.819071,-1,-1.0
1,18:28:02.395693,18:28:05.033132,1,-1.0
1,18:28:02.395693,18:28:05.248173,1,-1.0
1,18:28:02.395693,18:28:05.454108,1,-1.0
1,18:28:02.395693,18:28:05.657960,1,-1.0
1,18:28:02.395693,18:28:05.863901,1,-1.0
1,18:28:02.395693,18:28:06.076408,-1,-1.0
1,18:28:02.395693,18:28:06.276462,-1,-1.0
