Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:18:03.243363,12:18:07.790682,1,-1.0
1,12:18:03.243363,12:18:08.894179,1,-1.0
1,12:18:03.243363,12:18:09.853644,1,-1.0
1,12:18:03.243363,12:18:10.957451,1,-1.0
1,12:18:03.243363,12:18:11.938707,1,-1.0
1,12:18:03.243363,12:18:12.814888,1,-1.0
1,12:18:03.243363,12:18:18.263267,-1,-1.0
1,12:18:03.243363,12:18:19.013944,-1,-1.0
1,12:18:03.243363,12:18:20.143280,-1,-1.0
1,12:18:03.243363,12:18:21.246138,1,-1.0
1,12:18:03.243363,12:18:21.874250,-1,-1.0
1,12:18:03.243363,12:18:22.753933,-1,-1.0
1,12:18:03.243363,12:18:25.336718,-1,-1.0
1,12:18:03.243363,12:18:29.065257,1,-1.0
1,12:18:03.243363,12:18:30.335587,1,-1.0
1,12:18:03.243363,12:18:31.684544,1,-1.0
1,12:18:03.243363,12:18:32.655587,1,-1.0
1,12:18:03.243363,12:18:33.508408,1,-1.0
1,12:18:03.243363,12:18:52.711617,1,-1.0
1,12:18:03.243363,12:18:53.812847,1,-1.0
1,12:18:03.243363,12:18:54.597428,1,-1.0
1,12:18:03.243363,12:18:55.287210,1,-1.0
1,12:18:03.243363,12:19:02.108919,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:19:03.069504,12:19:07.640940,1,-1.0
2,12:19:03.069504,12:19:08.827372,1,-1.0
2,12:19:03.069504,12:19:09.712233,1,-1.0
2,12:19:03.069504,12:19:10.698469,1,-1.0
2,12:19:03.069504,12:19:11.538374,1,-1.0
2,12:19:03.069504,12:19:12.249846,1,-1.0
2,12:19:03.069504,12:19:12.924544,1,-1.0
2,12:19:03.069504,12:19:13.619500,1,-1.0
2,12:19:03.069504,12:19:14.210825,1,-1.0
2,12:19:03.069504,12:19:14.730528,1,-1.0
2,12:19:03.069504,12:19:15.237028,1,-1.0
2,12:19:03.069504,12:19:15.754662,1,-1.0
2,12:19:03.069504,12:19:17.210673,1,-1.0
2,12:19:03.069504,12:19:18.422309,1,-1.0
2,12:19:03.069504,12:19:18.884681,1,-1.0
2,12:19:03.069504,12:19:19.439505,-1,-1.0
2,12:19:03.069504,12:19:20.104604,-1,-1.0
2,12:19:03.069504,12:19:20.878349,-1,-1.0
2,12:19:03.069504,12:19:21.396815,1,-1.0
2,12:19:03.069504,12:19:22.220464,1,-1.0
2,12:19:03.069504,12:19:22.749778,1,-1.0
2,12:19:03.069504,12:19:23.292019,1,-1.0
2,12:19:03.069504,12:19:23.986264,1,-1.0
2,12:19:03.069504,12:19:24.730573,1,-1.0
2,12:19:03.069504,12:19:26.727437,1,-1.0
2,12:19:03.069504,12:19:27.398014,1,-1.0
2,12:19:03.069504,12:19:28.065477,1,-1.0
2,12:19:03.069504,12:19:28.701345,1,-1.0
2,12:19:03.069504,12:19:29.327969,1,-1.0
2,12:19:03.069504,12:19:29.847649,1,-1.0
2,12:19:03.069504,12:19:30.349696,1,-1.0
2,12:19:03.069504,12:19:30.958419,1,-1.0
2,12:19:03.069504,12:19:31.703325,1,-1.0
2,12:19:03.069504,12:19:32.293384,1,-1.0
2,12:19:03.069504,12:19:32.903132,1,-1.0
2,12:19:03.069504,12:19:33.432441,1,-1.0
2,12:19:03.069504,12:19:33.955338,1,-1.0
2,12:19:03.069504,12:19:34.390712,1,-1.0
2,12:19:03.069504,12:19:35.065260,1,-1.0
2,12:19:03.069504,12:19:35.874372,1,-1.0
2,12:19:03.069504,12:19:36.499551,1,-1.0
2,12:19:03.069504,12:19:37.605353,-1,-1.0
2,12:19:03.069504,12:19:38.418995,-1,-1.0
2,12:19:03.069504,12:19:38.989666,1,-1.0
2,12:19:03.069504,12:19:40.085437,1,-1.0
2,12:19:03.069504,12:19:40.880561,-1,-1.0
2,12:19:03.069504,12:19:41.437900,1,-1.0
2,12:19:03.069504,12:19:41.893264,1,-1.0
2,12:19:03.069504,12:19:45.843886,-1,-1.0
2,12:19:03.069504,12:19:46.269461,1,-1.0
2,12:19:03.069504,12:19:46.614352,1,-1.0
2,12:19:03.069504,12:19:47.771799,1,-1.0
2,12:19:03.069504,12:19:48.543580,-1,-1.0
2,12:19:03.069504,12:19:49.204372,-1,-1.0
2,12:19:03.069504,12:19:49.878321,1,-1.0
2,12:19:03.069504,12:19:50.751606,1,-1.0
2,12:19:03.069504,12:19:53.201721,1,-1.0
2,12:19:03.069504,12:19:53.731628,1,-1.0
2,12:19:03.069504,12:19:54.132369,1,-1.0
2,12:19:03.069504,12:19:54.472729,1,-1.0
2,12:19:03.069504,12:19:55.082384,1,-1.0
2,12:19:03.069504,12:19:55.554345,1,-1.0
2,12:19:03.069504,12:19:56.144412,1,-1.0
