Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:14:57.618180,21:14:58.276064,-1,-1.0
1,21:14:57.618180,21:14:58.484936,-1,-1.0
1,21:14:57.618180,21:14:58.662208,-1,-1.0
1,21:14:57.618180,21:14:58.817152,-1,-1.0
1,21:14:57.618180,21:14:58.973066,-1,-1.0
1,21:14:57.618180,21:14:59.106143,-1,-1.0
1,21:14:57.618180,21:14:59.280507,-1,-1.0
1,21:14:57.618180,21:14:59.418859,-1,-1.0
1,21:14:57.618180,21:14:59.606124,-1,-1.0
1,21:14:57.618180,21:14:59.771151,-1,-1.0
1,21:14:57.618180,21:14:59.913432,-1,-1.0
1,21:14:57.618180,21:15:00.064793,-1,-1.0
1,21:14:57.618180,21:15:00.241352,-1,-1.0
1,21:14:57.618180,21:15:00.380615,-1,-1.0
1,21:14:57.618180,21:15:00.528831,-1,-1.0
1,21:14:57.618180,21:15:00.688023,1,-1.0
1,21:14:57.618180,21:15:00.855166,1,-1.0
1,21:14:57.618180,21:15:01.019355,1,-1.0
1,21:14:57.618180,21:15:01.185823,1,-1.0
1,21:14:57.618180,21:15:01.354115,1,-1.0
1,21:14:57.618180,21:15:01.520799,1,-1.0
1,21:14:57.618180,21:15:01.687273,1,-1.0
1,21:14:57.618180,21:15:01.853793,1,-1.0
1,21:14:57.618180,21:15:02.021093,1,-1.0
1,21:14:57.618180,21:15:02.188895,1,-1.0
1,21:14:57.618180,21:15:02.358592,1,-1.0
1,21:14:57.618180,21:15:02.522836,1,-1.0
1,21:14:57.618180,21:15:02.687186,1,-1.0
1,21:14:57.618180,21:15:02.854685,1,-1.0
1,21:14:57.618180,21:15:03.021154,1,-1.0
1,21:14:57.618180,21:15:03.189226,1,-1.0
1,21:14:57.618180,21:15:03.354046,1,-1.0
1,21:14:57.618180,21:15:03.521249,1,-1.0
1,21:14:57.618180,21:15:03.689504,1,-1.0
1,21:14:57.618180,21:15:03.854014,1,-1.0
1,21:14:57.618180,21:15:04.021850,1,-1.0
1,21:14:57.618180,21:15:04.188593,1,-1.0
1,21:14:57.618180,21:15:04.355021,1,-1.0
1,21:14:57.618180,21:15:04.521060,1,-1.0
1,21:14:57.618180,21:15:04.687617,1,-1.0
1,21:14:57.618180,21:15:04.856515,1,-1.0
1,21:14:57.618180,21:15:05.023195,1,-1.0
1,21:14:57.618180,21:15:05.188219,1,-1.0
1,21:14:57.618180,21:15:05.356456,1,-1.0
1,21:14:57.618180,21:15:05.520958,1,-1.0
1,21:14:57.618180,21:15:05.685331,1,-1.0
1,21:14:57.618180,21:15:05.852044,1,-1.0
1,21:14:57.618180,21:15:06.022402,1,-1.0
1,21:14:57.618180,21:15:06.188141,1,-1.0
1,21:14:57.618180,21:15:06.354280,1,-1.0
1,21:14:57.618180,21:15:06.520610,1,-1.0
1,21:14:57.618180,21:15:06.688860,1,-1.0
1,21:14:57.618180,21:15:06.854682,1,-1.0
1,21:14:57.618180,21:15:07.019909,1,-1.0
1,21:14:57.618180,21:15:07.181198,-1,-1.0
1,21:14:57.618180,21:15:07.354195,-1,-1.0
1,21:14:57.618180,21:15:07.521596,-1,-1.0
1,21:14:57.618180,21:15:07.690599,-1,-1.0
1,21:14:57.618180,21:15:07.856658,-1,-1.0
1,21:14:57.618180,21:15:08.021781,-1,-1.0
1,21:14:57.618180,21:15:08.189645,-1,-1.0
1,21:14:57.618180,21:15:08.354097,-1,-1.0
1,21:14:57.618180,21:15:08.522245,-1,-1.0
1,21:14:57.618180,21:15:08.688464,-1,-1.0
1,21:14:57.618180,21:15:08.857676,-1,-1.0
1,21:14:57.618180,21:15:09.019619,-1,-1.0
1,21:14:57.618180,21:15:09.188389,-1,-1.0
1,21:14:57.618180,21:15:09.354354,-1,-1.0
1,21:14:57.618180,21:15:09.521262,-1,-1.0
1,21:14:57.618180,21:15:09.687808,-1,-1.0
1,21:14:57.618180,21:15:09.854747,-1,-1.0
1,21:14:57.618180,21:15:10.021632,-1,-1.0
1,21:14:57.618180,21:15:10.187419,-1,-1.0
1,21:14:57.618180,21:15:10.362292,-1,-1.0
1,21:14:57.618180,21:15:10.520599,1,-1.0
1,21:14:57.618180,21:15:10.686669,1,-1.0
1,21:14:57.618180,21:15:10.853113,1,-1.0
1,21:14:57.618180,21:15:11.042977,1,-1.0
1,21:14:57.618180,21:15:11.177033,-1,-1.0
1,21:14:57.618180,21:15:11.336167,-1,-1.0
1,21:14:57.618180,21:15:11.503549,-1,-1.0
1,21:14:57.618180,21:15:11.672044,-1,-1.0
1,21:14:57.618180,21:15:11.838570,-1,-1.0
1,21:14:57.618180,21:15:12.005811,-1,-1.0
1,21:14:57.618180,21:15:12.170836,-1,-1.0
1,21:14:57.618180,21:15:12.336245,-1,-1.0
1,21:14:57.618180,21:15:12.505121,-1,-1.0
1,21:14:57.618180,21:15:12.673297,-1,-1.0
1,21:14:57.618180,21:15:12.839807,-1,-1.0
1,21:14:57.618180,21:15:13.006671,-1,-1.0
1,21:14:57.618180,21:15:13.169110,-1,-1.0
1,21:14:57.618180,21:15:13.336443,-1,-1.0
1,21:14:57.618180,21:15:13.506661,-1,-1.0
1,21:14:57.618180,21:15:13.671833,-1,-1.0
1,21:14:57.618180,21:15:13.843102,-1,-1.0
1,21:14:57.618180,21:15:14.002736,-1,-1.0
1,21:14:57.618180,21:15:14.171454,-1,-1.0
1,21:14:57.618180,21:15:14.339222,1,-1.0
1,21:14:57.618180,21:15:14.506296,1,-1.0
1,21:14:57.618180,21:15:14.672146,1,-1.0
1,21:14:57.618180,21:15:14.836840,1,-1.0
1,21:14:57.618180,21:15:15.004839,1,-1.0
1,21:14:57.618180,21:15:15.171358,1,-1.0
