Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:13:09.729227,18:13:14.869840,1,-1.0
1,18:13:09.729227,18:13:15.110104,1,-1.0
1,18:13:09.729227,18:13:15.383764,1,-1.0
1,18:13:09.729227,18:13:15.616454,1,-1.0
1,18:13:09.729227,18:13:15.841986,1,-1.0
1,18:13:09.729227,18:13:16.046955,1,-1.0
1,18:13:09.729227,18:13:16.396562,1,-1.0
1,18:13:09.729227,18:13:16.625716,1,-1.0
1,18:13:09.729227,18:13:16.857111,1,-1.0
1,18:13:09.729227,18:13:17.095752,1,-1.0
1,18:13:09.729227,18:13:17.314454,1,-1.0
1,18:13:09.729227,18:13:17.561536,1,-1.0
1,18:13:09.729227,18:13:17.782805,1,-1.0
1,18:13:09.729227,18:13:17.987145,1,-1.0
1,18:13:09.729227,18:13:18.228509,1,-1.0
1,18:13:09.729227,18:13:18.655316,1,-1.0
1,18:13:09.729227,18:13:18.874970,1,-1.0
1,18:13:09.729227,18:13:19.114253,1,-1.0
1,18:13:09.729227,18:13:19.425114,1,-1.0
1,18:13:09.729227,18:13:19.888373,-1,-1.0
1,18:13:09.729227,18:13:20.122341,-1,-1.0
1,18:13:09.729227,18:13:20.322151,-1,-1.0
1,18:13:09.729227,18:13:20.522447,-1,-1.0
1,18:13:09.729227,18:13:20.714393,-1,-1.0
1,18:13:09.729227,18:13:20.915604,-1,-1.0
1,18:13:09.729227,18:13:21.123915,-1,-1.0
1,18:13:09.729227,18:13:21.336289,-1,-1.0
1,18:13:09.729227,18:13:21.542691,-1,-1.0
1,18:13:09.729227,18:13:22.057434,-1,-1.0
1,18:13:09.729227,18:13:22.616275,-1,-1.0
1,18:13:09.729227,18:13:23.155233,-1,-1.0
1,18:13:09.729227,18:13:23.562259,1,-1.0
1,18:13:09.729227,18:13:23.762176,1,-1.0
1,18:13:09.729227,18:13:23.961082,1,-1.0
1,18:13:09.729227,18:13:24.185976,1,-1.0
1,18:13:09.729227,18:13:24.386071,1,-1.0
1,18:13:09.729227,18:13:24.598688,1,-1.0
1,18:13:09.729227,18:13:24.803603,1,-1.0
1,18:13:09.729227,18:13:25.002930,1,-1.0
1,18:13:09.729227,18:13:25.223978,1,-1.0
1,18:13:09.729227,18:13:25.450239,1,-1.0
1,18:13:09.729227,18:13:25.663925,1,-1.0
1,18:13:09.729227,18:13:25.873368,1,-1.0
1,18:13:09.729227,18:13:26.090084,1,-1.0
1,18:13:09.729227,18:13:26.284581,1,-1.0
1,18:13:09.729227,18:13:26.519434,1,-1.0
1,18:13:09.729227,18:13:26.720183,1,-1.0
1,18:13:09.729227,18:13:26.934024,1,-1.0
1,18:13:09.729227,18:13:27.154066,1,-1.0
1,18:13:09.729227,18:13:27.530443,1,-1.0
1,18:13:09.729227,18:13:27.772003,1,-1.0
1,18:13:09.729227,18:13:28.005889,1,-1.0
1,18:13:09.729227,18:13:28.235285,1,-1.0
1,18:13:09.729227,18:13:28.461485,1,-1.0
1,18:13:09.729227,18:13:28.685017,1,-1.0
1,18:13:09.729227,18:13:28.909926,1,-1.0
1,18:13:09.729227,18:13:29.146257,1,-1.0
1,18:13:09.729227,18:13:29.389840,1,-1.0
1,18:13:09.729227,18:13:29.601574,1,-1.0
1,18:13:09.729227,18:13:29.810708,1,-1.0
1,18:13:09.729227,18:13:30.033705,1,-1.0
1,18:13:09.729227,18:13:30.358082,1,-1.0
1,18:13:09.729227,18:13:30.580641,1,-1.0
1,18:13:09.729227,18:13:30.815247,1,-1.0
1,18:13:09.729227,18:13:31.097455,1,-1.0
1,18:13:09.729227,18:13:31.342590,1,-1.0
1,18:13:09.729227,18:13:31.614724,1,-1.0
1,18:13:09.729227,18:13:31.870979,1,-1.0
1,18:13:09.729227,18:13:32.129046,1,-1.0
1,18:13:09.729227,18:13:32.384379,1,-1.0
1,18:13:09.729227,18:13:32.913001,-1,-1.0
1,18:13:09.729227,18:13:33.140427,-1,-1.0
1,18:13:09.729227,18:13:33.355419,-1,-1.0
1,18:13:09.729227,18:13:33.542678,-1,-1.0
1,18:13:09.729227,18:13:33.748034,-1,-1.0
1,18:13:09.729227,18:13:33.934531,-1,-1.0
1,18:13:09.729227,18:13:34.149390,-1,-1.0
1,18:13:09.729227,18:13:34.364730,-1,-1.0
1,18:13:09.729227,18:13:34.563155,-1,-1.0
1,18:13:09.729227,18:13:34.923601,1,-1.0
1,18:13:09.729227,18:13:35.224764,-1,-1.0
1,18:13:09.729227,18:13:35.435159,-1,-1.0
1,18:13:09.729227,18:13:35.861729,-1,-1.0
1,18:13:09.729227,18:13:36.165808,-1,-1.0
1,18:13:09.729227,18:13:36.627389,1,-1.0
1,18:13:09.729227,18:13:36.835548,1,-1.0
1,18:13:09.729227,18:13:37.042819,1,-1.0
1,18:13:09.729227,18:13:37.250491,1,-1.0
1,18:13:09.729227,18:13:37.456256,1,-1.0
1,18:13:09.729227,18:13:37.656200,1,-1.0
1,18:13:09.729227,18:13:37.875466,1,-1.0
1,18:13:09.729227,18:13:38.093355,1,-1.0
1,18:13:09.729227,18:13:38.322005,1,-1.0
1,18:13:09.729227,18:13:38.531932,1,-1.0
1,18:13:09.729227,18:13:38.753713,1,-1.0
1,18:13:09.729227,18:13:39.000187,1,-1.0
1,18:13:09.729227,18:13:39.210888,1,-1.0
1,18:13:09.729227,18:13:39.449367,1,-1.0
1,18:13:09.729227,18:13:39.671231,1,-1.0
1,18:13:09.729227,18:13:39.896894,1,-1.0
1,18:13:09.729227,18:13:40.105254,1,-1.0
1,18:13:09.729227,18:13:40.342110,1,-1.0
1,18:13:09.729227,18:13:40.594179,1,-1.0
1,18:13:09.729227,18:13:40.835278,1,-1.0
1,18:13:09.729227,18:13:41.079386,1,-1.0
1,18:13:09.729227,18:13:41.330065,1,-1.0
1,18:13:09.729227,18:13:41.569486,1,-1.0
1,18:13:09.729227,18:13:41.976114,-1,-1.0
1,18:13:09.729227,18:13:42.171005,-1,-1.0
1,18:13:09.729227,18:13:42.677369,1,-1.0
1,18:13:09.729227,18:13:42.883464,1,-1.0
1,18:13:09.729227,18:13:43.096328,1,-1.0
1,18:13:09.729227,18:13:43.315335,1,-1.0
1,18:13:09.729227,18:13:43.544563,1,-1.0
1,18:13:09.729227,18:13:43.765184,1,-1.0
1,18:13:09.729227,18:13:43.981215,1,-1.0
1,18:13:09.729227,18:13:44.221013,1,-1.0
1,18:13:09.729227,18:13:44.433024,1,-1.0
1,18:13:09.729227,18:13:44.659469,1,-1.0
1,18:13:09.729227,18:13:44.887011,1,-1.0
1,18:13:09.729227,18:13:45.120792,1,-1.0
1,18:13:09.729227,18:13:45.344904,1,-1.0
1,18:13:09.729227,18:13:45.559385,1,-1.0
1,18:13:09.729227,18:13:45.784972,1,-1.0
1,18:13:09.729227,18:13:45.993579,1,-1.0
1,18:13:09.729227,18:13:46.219643,1,-1.0
1,18:13:09.729227,18:13:46.445637,1,-1.0
1,18:13:09.729227,18:13:46.680560,1,-1.0
1,18:13:09.729227,18:13:46.915275,1,-1.0
1,18:13:09.729227,18:13:47.147382,1,-1.0
1,18:13:09.729227,18:13:47.393587,1,-1.0
1,18:13:09.729227,18:13:47.631047,1,-1.0
1,18:13:09.729227,18:13:47.875569,1,-1.0
1,18:13:09.729227,18:13:48.137386,1,-1.0
1,18:13:09.729227,18:13:48.374472,1,-1.0
1,18:13:09.729227,18:13:48.620559,1,-1.0
1,18:13:09.729227,18:13:48.840451,1,-1.0
1,18:13:09.729227,18:13:49.076109,1,-1.0
1,18:13:09.729227,18:13:49.319872,1,-1.0
1,18:13:09.729227,18:13:49.530556,1,-1.0
1,18:13:09.729227,18:13:49.765829,1,-1.0
1,18:13:09.729227,18:13:49.991346,1,-1.0
1,18:13:09.729227,18:13:50.215564,1,-1.0
1,18:13:09.729227,18:13:50.450891,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:13:59.451471,18:14:00.853128,1,-1.0
2,18:13:59.451471,18:14:01.141102,1,-1.0
2,18:13:59.451471,18:14:01.561420,1,-1.0
2,18:13:59.451471,18:14:01.795550,1,-1.0
2,18:13:59.451471,18:14:02.022576,1,-1.0
2,18:13:59.451471,18:14:02.233986,1,-1.0
2,18:13:59.451471,18:14:02.452337,1,-1.0
2,18:13:59.451471,18:14:02.661163,1,-1.0
2,18:13:59.451471,18:14:02.877294,1,-1.0
2,18:13:59.451471,18:14:03.083725,1,-1.0
2,18:13:59.451471,18:14:03.283266,1,-1.0
2,18:13:59.451471,18:14:03.506297,1,-1.0
2,18:13:59.451471,18:14:03.722543,1,-1.0
2,18:13:59.451471,18:14:03.933380,1,-1.0
2,18:13:59.451471,18:14:04.148303,1,-1.0
2,18:13:59.451471,18:14:04.350892,1,-1.0
2,18:13:59.451471,18:14:04.562355,1,-1.0
2,18:13:59.451471,18:14:04.778413,1,-1.0
2,18:13:59.451471,18:14:04.985937,1,-1.0
2,18:13:59.451471,18:14:05.191443,1,-1.0
2,18:13:59.451471,18:14:05.403550,1,-1.0
2,18:13:59.451471,18:14:05.632537,1,-1.0
2,18:13:59.451471,18:14:05.835022,1,-1.0
2,18:13:59.451471,18:14:06.127214,1,-1.0
2,18:13:59.451471,18:14:06.357118,1,-1.0
2,18:13:59.451471,18:14:06.562641,1,-1.0
2,18:13:59.451471,18:14:06.809708,1,-1.0
2,18:13:59.451471,18:14:07.310405,-1,-1.0
2,18:13:59.451471,18:14:07.493467,-1,-1.0
2,18:13:59.451471,18:14:07.705440,-1,-1.0
2,18:13:59.451471,18:14:07.879292,-1,-1.0
2,18:13:59.451471,18:14:08.065767,-1,-1.0
2,18:13:59.451471,18:14:08.189508,-1,-1.0
2,18:13:59.451471,18:14:08.345631,-1,-1.0
2,18:13:59.451471,18:14:08.573394,-1,-1.0
2,18:13:59.451471,18:14:08.781633,-1,-1.0
2,18:13:59.451471,18:14:09.340851,-1,-1.0
2,18:13:59.451471,18:14:09.732682,1,-1.0
2,18:13:59.451471,18:14:09.949735,1,-1.0
2,18:13:59.451471,18:14:10.151025,1,-1.0
2,18:13:59.451471,18:14:10.366025,1,-1.0
2,18:13:59.451471,18:14:10.573675,1,-1.0
2,18:13:59.451471,18:14:10.785185,1,-1.0
2,18:13:59.451471,18:14:11.011337,1,-1.0
2,18:13:59.451471,18:14:11.230432,1,-1.0
2,18:13:59.451471,18:14:11.444064,1,-1.0
2,18:13:59.451471,18:14:11.670777,1,-1.0
2,18:13:59.451471,18:14:11.874163,1,-1.0
2,18:13:59.451471,18:14:12.105241,1,-1.0
2,18:13:59.451471,18:14:12.342007,1,-1.0
2,18:13:59.451471,18:14:12.584559,1,-1.0
2,18:13:59.451471,18:14:12.835599,1,-1.0
2,18:13:59.451471,18:14:13.074692,1,-1.0
2,18:13:59.451471,18:14:13.311409,1,-1.0
2,18:13:59.451471,18:14:13.559574,1,-1.0
2,18:13:59.451471,18:14:13.800955,1,-1.0
2,18:13:59.451471,18:14:14.013493,1,-1.0
2,18:13:59.451471,18:14:14.221904,1,-1.0
2,18:13:59.451471,18:14:14.426344,1,-1.0
2,18:13:59.451471,18:14:14.657315,1,-1.0
2,18:13:59.451471,18:14:14.881364,1,-1.0
2,18:13:59.451471,18:14:15.118623,1,-1.0
2,18:13:59.451471,18:14:15.343912,1,-1.0
2,18:13:59.451471,18:14:15.574199,1,-1.0
2,18:13:59.451471,18:14:15.789204,1,-1.0
2,18:13:59.451471,18:14:16.026443,1,-1.0
2,18:13:59.451471,18:14:16.240902,1,-1.0
2,18:13:59.451471,18:14:16.498546,1,-1.0
2,18:13:59.451471,18:14:16.734100,1,-1.0
2,18:13:59.451471,18:14:16.982966,1,-1.0
2,18:13:59.451471,18:14:17.231802,1,-1.0
2,18:13:59.451471,18:14:17.451047,1,-1.0
2,18:13:59.451471,18:14:17.696565,1,-1.0
2,18:13:59.451471,18:14:17.945714,1,-1.0
2,18:13:59.451471,18:14:18.165263,1,-1.0
2,18:13:59.451471,18:14:18.405451,1,-1.0
2,18:13:59.451471,18:14:18.616331,1,-1.0
2,18:13:59.451471,18:14:18.874488,1,-1.0
2,18:13:59.451471,18:14:19.233514,-1,-1.0
2,18:13:59.451471,18:14:19.486077,-1,-1.0
2,18:13:59.451471,18:14:19.834602,1,-1.0
2,18:13:59.451471,18:14:20.063994,1,-1.0
2,18:13:59.451471,18:14:20.274271,1,-1.0
2,18:13:59.451471,18:14:20.484413,1,-1.0
2,18:13:59.451471,18:14:20.702725,1,-1.0
2,18:13:59.451471,18:14:20.942713,1,-1.0
2,18:13:59.451471,18:14:21.161565,1,-1.0
