Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:01:39.568055,17:01:41.248086,-1,-1.0
1,17:01:39.568055,17:01:41.742439,-1,-1.0
1,17:01:39.568055,17:01:44.745831,1,-1.0
1,17:01:39.568055,17:01:45.047718,1,-1.0
1,17:01:39.568055,17:01:45.333562,1,-1.0
1,17:01:39.568055,17:01:45.930789,-1,-1.0
1,17:01:39.568055,17:01:46.171875,-1,-1.0
1,17:01:39.568055,17:01:46.386542,-1,-1.0
1,17:01:39.568055,17:01:46.743824,1,-1.0
1,17:01:39.568055,17:01:46.969901,1,-1.0
1,17:01:39.568055,17:01:47.175496,1,-1.0
1,17:01:39.568055,17:01:47.381271,1,-1.0
1,17:01:39.568055,17:01:47.582237,1,-1.0
1,17:01:39.568055,17:01:47.782169,1,-1.0
1,17:01:39.568055,17:01:47.974368,1,-1.0
1,17:01:39.568055,17:01:48.184671,1,-1.0
1,17:01:39.568055,17:01:48.391884,1,-1.0
1,17:01:39.568055,17:01:48.588683,1,-1.0
1,17:01:39.568055,17:01:48.803657,1,-1.0
1,17:01:39.568055,17:01:49.021797,1,-1.0
1,17:01:39.568055,17:01:49.216284,1,-1.0
1,17:01:39.568055,17:01:49.413434,1,-1.0
1,17:01:39.568055,17:01:49.619286,1,-1.0
1,17:01:39.568055,17:01:49.816087,1,-1.0
1,17:01:39.568055,17:01:50.006191,1,-1.0
1,17:01:39.568055,17:01:50.218700,1,-1.0
1,17:01:39.568055,17:01:50.415115,1,-1.0
1,17:01:39.568055,17:01:50.595944,1,-1.0
1,17:01:39.568055,17:01:50.799484,1,-1.0
1,17:01:39.568055,17:01:51.000342,1,-1.0
1,17:01:39.568055,17:01:51.185769,1,-1.0
1,17:01:39.568055,17:01:51.393605,1,-1.0
1,17:01:39.568055,17:01:51.589973,1,-1.0
1,17:01:39.568055,17:01:51.803247,1,-1.0
1,17:01:39.568055,17:01:51.999514,1,-1.0
1,17:01:39.568055,17:01:52.186832,1,-1.0
1,17:01:39.568055,17:01:52.391908,1,-1.0
1,17:01:39.568055,17:01:52.598550,1,-1.0
1,17:01:39.568055,17:01:52.787099,1,-1.0
1,17:01:39.568055,17:01:53.002782,1,-1.0
1,17:01:39.568055,17:01:53.196247,1,-1.0
1,17:01:39.568055,17:01:53.397513,1,-1.0
1,17:01:39.568055,17:01:53.608638,1,-1.0
1,17:01:39.568055,17:01:53.803970,1,-1.0
1,17:01:39.568055,17:01:54.499178,-1,-1.0
1,17:01:39.568055,17:01:54.700971,-1,-1.0
1,17:01:39.568055,17:01:54.880712,-1,-1.0
1,17:01:39.568055,17:01:55.049450,-1,-1.0
1,17:01:39.568055,17:01:55.226761,-1,-1.0
1,17:01:39.568055,17:01:55.411519,-1,-1.0
1,17:01:39.568055,17:01:55.594585,-1,-1.0
1,17:01:39.568055,17:01:55.777618,-1,-1.0
1,17:01:39.568055,17:01:55.961064,-1,-1.0
1,17:01:39.568055,17:01:56.154387,-1,-1.0
1,17:01:39.568055,17:01:56.345826,-1,-1.0
1,17:01:39.568055,17:01:56.543750,-1,-1.0
1,17:01:39.568055,17:01:56.741358,-1,-1.0
1,17:01:39.568055,17:01:56.953573,-1,-1.0
1,17:01:39.568055,17:01:57.158449,-1,-1.0
1,17:01:39.568055,17:01:57.388372,-1,-1.0
1,17:01:39.568055,17:01:57.733411,-1,-1.0
1,17:01:39.568055,17:01:58.280565,-1,-1.0
1,17:01:39.568055,17:01:58.554735,-1,-1.0
1,17:01:39.568055,17:01:58.770290,-1,-1.0
1,17:01:39.568055,17:01:59.344689,1,-1.0
1,17:01:39.568055,17:01:59.540579,1,-1.0
1,17:01:39.568055,17:01:59.731089,1,-1.0
1,17:01:39.568055,17:01:59.941301,1,-1.0
1,17:01:39.568055,17:02:00.143707,1,-1.0
1,17:01:39.568055,17:02:00.434118,-1,-1.0
1,17:01:39.568055,17:02:00.645956,-1,-1.0
1,17:01:39.568055,17:02:00.837789,-1,-1.0
1,17:01:39.568055,17:02:01.042492,-1,-1.0
1,17:01:39.568055,17:02:01.231529,-1,-1.0
1,17:01:39.568055,17:02:01.440491,-1,-1.0
1,17:01:39.568055,17:02:01.621536,-1,-1.0
1,17:01:39.568055,17:02:01.824562,-1,-1.0
1,17:01:39.568055,17:02:02.074534,-1,-1.0
1,17:01:39.568055,17:02:02.274335,-1,-1.0
1,17:01:39.568055,17:02:02.565418,1,-1.0
1,17:01:39.568055,17:02:02.786059,1,-1.0
1,17:01:39.568055,17:02:02.993595,1,-1.0
1,17:01:39.568055,17:02:03.200874,1,-1.0
1,17:01:39.568055,17:02:03.417316,1,-1.0
1,17:01:39.568055,17:02:03.614460,1,-1.0
1,17:01:39.568055,17:02:03.828426,1,-1.0
1,17:01:39.568055,17:02:04.044422,1,-1.0
1,17:01:39.568055,17:02:04.249481,1,-1.0
1,17:01:39.568055,17:02:04.449740,1,-1.0
1,17:01:39.568055,17:02:04.667385,1,-1.0
1,17:01:39.568055,17:02:04.867554,1,-1.0
1,17:01:39.568055,17:02:05.075185,1,-1.0
1,17:01:39.568055,17:02:05.293179,1,-1.0
1,17:01:39.568055,17:02:05.511585,1,-1.0
1,17:01:39.568055,17:02:05.725942,1,-1.0
1,17:01:39.568055,17:02:05.953208,1,-1.0
1,17:01:39.568055,17:02:06.161177,1,-1.0
1,17:01:39.568055,17:02:06.378522,1,-1.0
1,17:01:39.568055,17:02:06.594285,1,-1.0
1,17:01:39.568055,17:02:06.818998,1,-1.0
1,17:01:39.568055,17:02:07.039495,1,-1.0
1,17:01:39.568055,17:02:07.250391,1,-1.0
1,17:01:39.568055,17:02:07.468536,1,-1.0
1,17:01:39.568055,17:02:07.719644,1,-1.0
1,17:01:39.568055,17:02:07.948663,1,-1.0
1,17:01:39.568055,17:02:08.159815,1,-1.0
1,17:01:39.568055,17:02:08.378525,1,-1.0
1,17:01:39.568055,17:02:08.613202,1,-1.0
1,17:01:39.568055,17:02:08.815979,1,-1.0
1,17:01:39.568055,17:02:09.026947,1,-1.0
1,17:01:39.568055,17:02:09.273618,1,-1.0
1,17:01:39.568055,17:02:09.516449,1,-1.0
1,17:01:39.568055,17:02:09.747546,1,-1.0
1,17:01:39.568055,17:02:09.959846,1,-1.0
1,17:01:39.568055,17:02:10.174731,1,-1.0
1,17:01:39.568055,17:02:10.396323,1,-1.0
1,17:01:39.568055,17:02:11.508645,-1,-1.0
1,17:01:39.568055,17:02:11.745645,-1,-1.0
1,17:01:39.568055,17:02:11.956233,-1,-1.0
1,17:01:39.568055,17:02:12.138829,-1,-1.0
1,17:01:39.568055,17:02:12.320351,-1,-1.0
1,17:01:39.568055,17:02:12.515170,-1,-1.0
1,17:01:39.568055,17:02:12.714369,-1,-1.0
1,17:01:39.568055,17:02:12.913700,-1,-1.0
1,17:01:39.568055,17:02:13.455564,-1,-1.0
1,17:01:39.568055,17:02:13.974535,1,-1.0
1,17:01:39.568055,17:02:14.204615,1,-1.0
1,17:01:39.568055,17:02:14.399350,1,-1.0
1,17:01:39.568055,17:02:14.606337,1,-1.0
1,17:01:39.568055,17:02:14.810263,1,-1.0
1,17:01:39.568055,17:02:15.025635,1,-1.0
1,17:01:39.568055,17:02:15.273610,1,-1.0
