Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:47:48.413413,17:47:51.626674,1,-1.0
1,17:47:48.413413,17:47:51.863629,1,-1.0
1,17:47:48.413413,17:47:52.095968,1,-1.0
1,17:47:48.413413,17:47:52.329421,1,-1.0
1,17:47:48.413413,17:47:52.551670,1,-1.0
1,17:47:48.413413,17:47:52.760534,1,-1.0
1,17:47:48.413413,17:47:52.986375,1,-1.0
1,17:47:48.413413,17:47:53.214056,1,-1.0
1,17:47:48.413413,17:47:53.441999,1,-1.0
1,17:47:48.413413,17:47:53.690155,1,-1.0
1,17:47:48.413413,17:47:53.913165,1,-1.0
1,17:47:48.413413,17:47:54.136932,1,-1.0
1,17:47:48.413413,17:47:54.372203,1,-1.0
1,17:47:48.413413,17:47:54.597310,1,-1.0
1,17:47:48.413413,17:47:54.823018,1,-1.0
1,17:47:48.413413,17:47:55.038773,1,-1.0
1,17:47:48.413413,17:47:55.266181,1,-1.0
1,17:47:48.413413,17:47:55.487889,1,-1.0
1,17:47:48.413413,17:47:55.686771,1,-1.0
1,17:47:48.413413,17:47:55.895206,1,-1.0
1,17:47:48.413413,17:47:56.132574,1,-1.0
1,17:47:48.413413,17:47:56.345147,1,-1.0
1,17:47:48.413413,17:47:56.642398,1,-1.0
1,17:47:48.413413,17:47:56.833137,1,-1.0
1,17:47:48.413413,17:47:57.038443,1,-1.0
1,17:47:48.413413,17:47:57.245698,1,-1.0
1,17:47:48.413413,17:47:57.452090,1,-1.0
1,17:47:48.413413,17:47:58.267206,-1,-1.0
1,17:47:48.413413,17:47:58.553169,-1,-1.0
1,17:47:48.413413,17:47:58.753939,-1,-1.0
1,17:47:48.413413,17:47:58.951051,-1,-1.0
1,17:47:48.413413,17:47:59.154747,-1,-1.0
1,17:47:48.413413,17:47:59.344127,-1,-1.0
1,17:47:48.413413,17:47:59.558262,-1,-1.0
1,17:47:48.413413,17:47:59.746751,-1,-1.0
1,17:47:48.413413,17:47:59.936996,-1,-1.0
1,17:47:48.413413,17:48:00.132024,-1,-1.0
1,17:47:48.413413,17:48:00.327807,-1,-1.0
1,17:47:48.413413,17:48:00.533181,-1,-1.0
1,17:47:48.413413,17:48:01.179206,-1,-1.0
1,17:47:48.413413,17:48:01.677272,1,-1.0
1,17:47:48.413413,17:48:01.884220,1,-1.0
1,17:47:48.413413,17:48:02.087830,1,-1.0
1,17:47:48.413413,17:48:02.292053,1,-1.0
1,17:47:48.413413,17:48:02.489610,1,-1.0
1,17:47:48.413413,17:48:02.690424,1,-1.0
1,17:47:48.413413,17:48:02.913673,1,-1.0
1,17:47:48.413413,17:48:03.115274,1,-1.0
1,17:47:48.413413,17:48:03.339058,1,-1.0
1,17:47:48.413413,17:48:03.574817,1,-1.0
1,17:47:48.413413,17:48:03.787567,1,-1.0
1,17:47:48.413413,17:48:03.995429,1,-1.0
1,17:47:48.413413,17:48:04.214076,1,-1.0
1,17:47:48.413413,17:48:04.430026,1,-1.0
1,17:47:48.413413,17:48:04.646871,1,-1.0
1,17:47:48.413413,17:48:04.862984,1,-1.0
1,17:47:48.413413,17:48:05.090645,1,-1.0
1,17:47:48.413413,17:48:05.302412,1,-1.0
1,17:47:48.413413,17:48:05.522046,1,-1.0
1,17:47:48.413413,17:48:05.747189,1,-1.0
1,17:47:48.413413,17:48:05.953258,1,-1.0
1,17:47:48.413413,17:48:06.172132,1,-1.0
1,17:47:48.413413,17:48:06.409819,1,-1.0
1,17:47:48.413413,17:48:06.633401,1,-1.0
1,17:47:48.413413,17:48:06.867386,1,-1.0
1,17:47:48.413413,17:48:07.079945,1,-1.0
1,17:47:48.413413,17:48:07.297313,1,-1.0
1,17:47:48.413413,17:48:07.525349,1,-1.0
1,17:47:48.413413,17:48:07.749430,1,-1.0
1,17:47:48.413413,17:48:07.965638,1,-1.0
1,17:47:48.413413,17:48:08.907088,1,-1.0
1,17:47:48.413413,17:48:09.114778,1,-1.0
1,17:47:48.413413,17:48:09.314147,1,-1.0
1,17:47:48.413413,17:48:09.586409,1,-1.0
1,17:47:48.413413,17:48:09.810956,1,-1.0
1,17:47:48.413413,17:48:10.015020,1,-1.0
1,17:47:48.413413,17:48:10.337161,-1,-1.0
1,17:47:48.413413,17:48:10.542748,-1,-1.0
1,17:47:48.413413,17:48:10.738263,-1,-1.0
1,17:47:48.413413,17:48:10.981970,-1,-1.0
1,17:47:48.413413,17:48:11.161921,-1,-1.0
1,17:47:48.413413,17:48:11.354514,-1,-1.0
1,17:47:48.413413,17:48:11.531064,-1,-1.0
1,17:47:48.413413,17:48:12.052058,-1,-1.0
1,17:47:48.413413,17:48:12.433331,1,-1.0
1,17:47:48.413413,17:48:12.634611,1,-1.0
1,17:47:48.413413,17:48:12.843163,1,-1.0
1,17:47:48.413413,17:48:13.049829,1,-1.0
1,17:47:48.413413,17:48:13.271057,1,-1.0
1,17:47:48.413413,17:48:13.477614,1,-1.0
1,17:47:48.413413,17:48:13.696156,1,-1.0
1,17:47:48.413413,17:48:13.923116,1,-1.0
1,17:47:48.413413,17:48:14.171426,1,-1.0
1,17:47:48.413413,17:48:14.397888,1,-1.0
1,17:47:48.413413,17:48:14.654069,1,-1.0
1,17:47:48.413413,17:48:14.893072,1,-1.0
1,17:47:48.413413,17:48:15.137084,1,-1.0
1,17:47:48.413413,17:48:15.347030,1,-1.0
1,17:47:48.413413,17:48:15.576792,1,-1.0
1,17:47:48.413413,17:48:15.833599,1,-1.0
1,17:47:48.413413,17:48:16.046575,1,-1.0
1,17:47:48.413413,17:48:16.257514,1,-1.0
1,17:47:48.413413,17:48:16.498122,1,-1.0
1,17:47:48.413413,17:48:16.715488,1,-1.0
1,17:47:48.413413,17:48:16.953364,1,-1.0
1,17:47:48.413413,17:48:17.188999,1,-1.0
1,17:47:48.413413,17:48:17.429755,1,-1.0
1,17:47:48.413413,17:48:17.670329,1,-1.0
1,17:47:48.413413,17:48:17.891918,1,-1.0
1,17:47:48.413413,17:48:18.108466,1,-1.0
1,17:47:48.413413,17:48:18.982606,-1,-1.0
1,17:47:48.413413,17:48:19.296251,-1,-1.0
1,17:47:48.413413,17:48:19.529280,1,-1.0
1,17:47:48.413413,17:48:19.747619,1,-1.0
1,17:47:48.413413,17:48:19.949472,1,-1.0
1,17:47:48.413413,17:48:20.170464,1,-1.0
1,17:47:48.413413,17:48:20.386405,1,-1.0
1,17:47:48.413413,17:48:20.592798,1,-1.0
1,17:47:48.413413,17:48:20.823662,1,-1.0
1,17:47:48.413413,17:48:21.046725,1,-1.0
1,17:47:48.413413,17:48:21.262308,1,-1.0
1,17:47:48.413413,17:48:21.488440,1,-1.0
1,17:47:48.413413,17:48:21.725164,1,-1.0
1,17:47:48.413413,17:48:21.953516,1,-1.0
1,17:47:48.413413,17:48:22.192964,1,-1.0
1,17:47:48.413413,17:48:22.395967,1,-1.0
1,17:47:48.413413,17:48:22.605456,1,-1.0
1,17:47:48.413413,17:48:22.830951,1,-1.0
1,17:47:48.413413,17:48:23.091477,1,-1.0
1,17:47:48.413413,17:48:23.294686,1,-1.0
1,17:47:48.413413,17:48:23.517173,1,-1.0
1,17:47:48.413413,17:48:23.743055,1,-1.0
1,17:47:48.413413,17:48:23.965910,1,-1.0
1,17:47:48.413413,17:48:24.194013,1,-1.0
1,17:47:48.413413,17:48:24.398600,1,-1.0
1,17:47:48.413413,17:48:24.625259,1,-1.0
1,17:47:48.413413,17:48:24.850997,1,-1.0
1,17:47:48.413413,17:48:25.068176,1,-1.0
1,17:47:48.413413,17:48:25.281932,1,-1.0
1,17:47:48.413413,17:48:25.510845,1,-1.0
1,17:47:48.413413,17:48:25.736943,1,-1.0
1,17:47:48.413413,17:48:25.974483,1,-1.0
1,17:47:48.413413,17:48:26.195551,1,-1.0
1,17:47:48.413413,17:48:26.418774,1,-1.0
1,17:47:48.413413,17:48:26.647290,1,-1.0
1,17:47:48.413413,17:48:26.866874,1,-1.0
1,17:47:48.413413,17:48:27.125236,1,-1.0
1,17:47:48.413413,17:48:27.352210,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,17:48:33.625856,17:48:36.434562,1,-1.0
2,17:48:33.625856,17:48:36.674932,1,-1.0
2,17:48:33.625856,17:48:36.909058,1,-1.0
2,17:48:33.625856,17:48:37.129723,1,-1.0
2,17:48:33.625856,17:48:37.336489,1,-1.0
2,17:48:33.625856,17:48:37.553160,1,-1.0
2,17:48:33.625856,17:48:37.772916,1,-1.0
2,17:48:33.625856,17:48:37.986573,1,-1.0
2,17:48:33.625856,17:48:38.193995,1,-1.0
2,17:48:33.625856,17:48:38.401387,1,-1.0
2,17:48:33.625856,17:48:38.623513,1,-1.0
2,17:48:33.625856,17:48:38.838289,1,-1.0
2,17:48:33.625856,17:48:39.077194,1,-1.0
