Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,20:44:02.343551,20:44:05.040068,1,-1.0
1,20:44:02.343551,20:44:05.254154,1,-1.0
1,20:44:02.343551,20:44:05.490145,1,-1.0
1,20:44:02.343551,20:44:05.710997,1,-1.0
1,20:44:02.343551,20:44:05.925863,1,-1.0
1,20:44:02.343551,20:44:06.165770,1,-1.0
1,20:44:02.343551,20:44:06.425742,1,-1.0
1,20:44:02.343551,20:44:06.669979,1,-1.0
1,20:44:02.343551,20:44:06.895971,1,-1.0
1,20:44:02.343551,20:44:07.170879,1,-1.0
1,20:44:02.343551,20:44:07.416893,1,-1.0
1,20:44:02.343551,20:44:07.665711,1,-1.0
1,20:44:02.343551,20:44:07.917466,1,-1.0
1,20:44:02.343551,20:44:08.154644,1,-1.0
1,20:44:02.343551,20:44:08.399196,1,-1.0
1,20:44:02.343551,20:44:08.640871,1,-1.0
1,20:44:02.343551,20:44:08.894352,1,-1.0
1,20:44:02.343551,20:44:09.139963,1,-1.0
1,20:44:02.343551,20:44:09.398280,1,-1.0
1,20:44:02.343551,20:44:09.610460,1,-1.0
1,20:44:02.343551,20:44:09.856807,1,-1.0
1,20:44:02.343551,20:44:10.080168,1,-1.0
1,20:44:02.343551,20:44:10.310582,1,-1.0
1,20:44:02.343551,20:44:10.536952,1,-1.0
1,20:44:02.343551,20:44:10.763754,1,-1.0
1,20:44:02.343551,20:44:11.005511,1,-1.0
1,20:44:02.343551,20:44:11.232173,1,-1.0
1,20:44:02.343551,20:44:11.474598,1,-1.0
1,20:44:02.343551,20:44:11.727281,1,-1.0
1,20:44:02.343551,20:44:11.973686,1,-1.0
1,20:44:02.343551,20:44:12.204438,1,-1.0
1,20:44:02.343551,20:44:12.446517,1,-1.0
1,20:44:02.343551,20:44:12.752320,-1,-1.0
1,20:44:02.343551,20:44:12.965438,-1,-1.0
1,20:44:02.343551,20:44:13.153795,-1,-1.0
1,20:44:02.343551,20:44:13.358485,-1,-1.0
1,20:44:02.343551,20:44:13.555811,-1,-1.0
1,20:44:02.343551,20:44:13.840499,-1,-1.0
1,20:44:02.343551,20:44:14.031879,-1,-1.0
1,20:44:02.343551,20:44:14.242553,-1,-1.0
1,20:44:02.343551,20:44:14.480862,-1,-1.0
1,20:44:02.343551,20:44:14.999340,-1,-1.0
1,20:44:02.343551,20:44:15.273064,-1,-1.0
1,20:44:02.343551,20:44:15.637785,-1,-1.0
1,20:44:02.343551,20:44:15.936602,-1,-1.0
1,20:44:02.343551,20:44:16.471201,-1,-1.0
1,20:44:02.343551,20:44:16.878978,1,-1.0
1,20:44:02.343551,20:44:17.101756,1,-1.0
1,20:44:02.343551,20:44:17.309171,1,-1.0
1,20:44:02.343551,20:44:17.547761,1,-1.0
1,20:44:02.343551,20:44:17.786685,1,-1.0
1,20:44:02.343551,20:44:18.022456,1,-1.0
1,20:44:02.343551,20:44:18.286400,1,-1.0
1,20:44:02.343551,20:44:18.503617,1,-1.0
1,20:44:02.343551,20:44:18.839192,1,-1.0
1,20:44:02.343551,20:44:19.064148,1,-1.0
1,20:44:02.343551,20:44:19.346131,1,-1.0
1,20:44:02.343551,20:44:19.608240,1,-1.0
1,20:44:02.343551,20:44:19.855789,1,-1.0
1,20:44:02.343551,20:44:20.104221,1,-1.0
1,20:44:02.343551,20:44:20.360009,1,-1.0
1,20:44:02.343551,20:44:20.637151,1,-1.0
1,20:44:02.343551,20:44:20.862874,1,-1.0
1,20:44:02.343551,20:44:21.096478,1,-1.0
1,20:44:02.343551,20:44:21.310239,1,-1.0
1,20:44:02.343551,20:44:21.559408,1,-1.0
1,20:44:02.343551,20:44:21.826430,1,-1.0
1,20:44:02.343551,20:44:22.072411,1,-1.0
1,20:44:02.343551,20:44:22.296042,1,-1.0
1,20:44:02.343551,20:44:22.568172,1,-1.0
1,20:44:02.343551,20:44:22.840348,1,-1.0
1,20:44:02.343551,20:44:23.083423,1,-1.0
1,20:44:02.343551,20:44:23.343333,1,-1.0
1,20:44:02.343551,20:44:23.599180,1,-1.0
1,20:44:02.343551,20:44:23.860037,1,-1.0
1,20:44:02.343551,20:44:24.107981,1,-1.0
1,20:44:02.343551,20:44:24.345196,1,-1.0
1,20:44:02.343551,20:44:24.569126,1,-1.0
1,20:44:02.343551,20:44:24.815761,1,-1.0
1,20:44:02.343551,20:44:25.054639,1,-1.0
1,20:44:02.343551,20:44:25.287261,1,-1.0
1,20:44:02.343551,20:44:25.891361,-1,-1.0
1,20:44:02.343551,20:44:26.259795,-1,-1.0
1,20:44:02.343551,20:44:26.608077,-1,-1.0
1,20:44:02.343551,20:44:26.956533,-1,-1.0
1,20:44:02.343551,20:44:27.153050,-1,-1.0
1,20:44:02.343551,20:44:27.380162,-1,-1.0
1,20:44:02.343551,20:44:27.592196,-1,-1.0
1,20:44:02.343551,20:44:27.970110,-1,-1.0
1,20:44:02.343551,20:44:28.378751,1,-1.0
1,20:44:02.343551,20:44:28.643556,1,-1.0
1,20:44:02.343551,20:44:28.883838,1,-1.0
1,20:44:02.343551,20:44:29.113241,1,-1.0
1,20:44:02.343551,20:44:29.389382,1,-1.0
1,20:44:02.343551,20:44:29.632238,1,-1.0
1,20:44:02.343551,20:44:29.904118,1,-1.0
1,20:44:02.343551,20:44:30.128434,1,-1.0
1,20:44:02.343551,20:44:30.391365,1,-1.0
1,20:44:02.343551,20:44:30.609443,1,-1.0
1,20:44:02.343551,20:44:30.856060,1,-1.0
1,20:44:02.343551,20:44:31.090775,1,-1.0
1,20:44:02.343551,20:44:31.331016,1,-1.0
1,20:44:02.343551,20:44:31.560921,1,-1.0
1,20:44:02.343551,20:44:31.795496,1,-1.0
1,20:44:02.343551,20:44:32.041224,1,-1.0
1,20:44:02.343551,20:44:32.269434,1,-1.0
1,20:44:02.343551,20:44:32.524331,1,-1.0
1,20:44:02.343551,20:44:32.764779,1,-1.0
1,20:44:02.343551,20:44:33.007341,1,-1.0
1,20:44:02.343551,20:44:33.237380,1,-1.0
1,20:44:02.343551,20:44:33.495283,1,-1.0
1,20:44:02.343551,20:44:33.720048,1,-1.0
1,20:44:02.343551,20:44:34.899378,1,-1.0
1,20:44:02.343551,20:44:35.127091,1,-1.0
1,20:44:02.343551,20:44:35.353993,1,-1.0
1,20:44:02.343551,20:44:35.591642,1,-1.0
1,20:44:02.343551,20:44:35.798393,1,-1.0
1,20:44:02.343551,20:44:36.035084,1,-1.0
1,20:44:02.343551,20:44:36.273029,1,-1.0
1,20:44:02.343551,20:44:36.496576,1,-1.0
1,20:44:02.343551,20:44:36.728173,1,-1.0
1,20:44:02.343551,20:44:36.998587,1,-1.0
1,20:44:02.343551,20:44:37.234357,1,-1.0
1,20:44:02.343551,20:44:37.502331,1,-1.0
1,20:44:02.343551,20:44:37.769073,1,-1.0
1,20:44:02.343551,20:44:38.010030,1,-1.0
1,20:44:02.343551,20:44:38.255237,1,-1.0
1,20:44:02.343551,20:44:38.509584,1,-1.0
1,20:44:02.343551,20:44:38.755282,1,-1.0
1,20:44:02.343551,20:44:39.010203,1,-1.0
1,20:44:02.343551,20:44:39.265347,1,-1.0
1,20:44:02.343551,20:44:39.515035,1,-1.0
1,20:44:02.343551,20:44:39.764058,1,-1.0
1,20:44:02.343551,20:44:40.003599,1,-1.0
1,20:44:02.343551,20:44:40.248801,1,-1.0
1,20:44:02.343551,20:44:40.483126,1,-1.0
1,20:44:02.343551,20:44:40.743080,1,-1.0
1,20:44:02.343551,20:44:41.021738,1,-1.0
1,20:44:02.343551,20:44:41.264081,1,-1.0
1,20:44:02.343551,20:44:41.504773,1,-1.0
1,20:44:02.343551,20:44:41.749496,1,-1.0
1,20:44:02.343551,20:44:42.005455,1,-1.0
1,20:44:02.343551,20:44:42.263386,1,-1.0
1,20:44:02.343551,20:44:42.526047,1,-1.0
1,20:44:02.343551,20:44:42.773311,1,-1.0
1,20:44:02.343551,20:44:43.016239,1,-1.0
1,20:44:02.343551,20:44:43.264952,1,-1.0
1,20:44:02.343551,20:44:43.505987,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,20:44:55.366973,20:44:58.770031,1,-1.0
2,20:44:55.366973,20:44:59.009296,1,-1.0
2,20:44:55.366973,20:44:59.227954,1,-1.0
2,20:44:55.366973,20:44:59.433556,1,-1.0
2,20:44:55.366973,20:44:59.652015,1,-1.0
2,20:44:55.366973,20:44:59.858545,1,-1.0
2,20:44:55.366973,20:45:00.076534,1,-1.0
2,20:44:55.366973,20:45:00.306010,1,-1.0
2,20:44:55.366973,20:45:00.531127,1,-1.0
2,20:44:55.366973,20:45:00.751450,1,-1.0
2,20:44:55.366973,20:45:00.970212,1,-1.0
2,20:44:55.366973,20:45:01.186818,1,-1.0
2,20:44:55.366973,20:45:01.423408,1,-1.0
2,20:44:55.366973,20:45:01.658067,1,-1.0
2,20:44:55.366973,20:45:01.886043,1,-1.0
2,20:44:55.366973,20:45:02.104806,1,-1.0
2,20:44:55.366973,20:45:02.327883,1,-1.0
2,20:44:55.366973,20:45:02.563504,1,-1.0
2,20:44:55.366973,20:45:02.795500,1,-1.0
2,20:44:55.366973,20:45:03.005601,1,-1.0
2,20:44:55.366973,20:45:03.223352,1,-1.0
2,20:44:55.366973,20:45:03.435592,1,-1.0
2,20:44:55.366973,20:45:03.665128,1,-1.0
2,20:44:55.366973,20:45:03.880551,1,-1.0
2,20:44:55.366973,20:45:04.097164,1,-1.0
2,20:44:55.366973,20:45:04.320135,1,-1.0
2,20:44:55.366973,20:45:04.676997,-1,-1.0
2,20:44:55.366973,20:45:04.944975,-1,-1.0
2,20:44:55.366973,20:45:05.171465,-1,-1.0
2,20:44:55.366973,20:45:05.431655,-1,-1.0
2,20:44:55.366973,20:45:05.632070,-1,-1.0
2,20:44:55.366973,20:45:05.861572,-1,-1.0
