Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:53:02.194171,15:53:05.110769,1,-1.0
1,15:53:02.194171,15:53:05.326571,1,-1.0
1,15:53:02.194171,15:53:05.551837,1,-1.0
1,15:53:02.194171,15:53:05.766015,1,-1.0
1,15:53:02.194171,15:53:05.964163,1,-1.0
1,15:53:02.194171,15:53:06.182708,1,-1.0
1,15:53:02.194171,15:53:06.393085,1,-1.0
1,15:53:02.194171,15:53:06.597666,1,-1.0
1,15:53:02.194171,15:53:06.807662,1,-1.0
1,15:53:02.194171,15:53:07.018841,1,-1.0
1,15:53:02.194171,15:53:07.244226,1,-1.0
1,15:53:02.194171,15:53:07.459388,1,-1.0
1,15:53:02.194171,15:53:07.676043,1,-1.0
1,15:53:02.194171,15:53:07.903323,1,-1.0
1,15:53:02.194171,15:53:08.118253,1,-1.0
1,15:53:02.194171,15:53:08.337454,1,-1.0
1,15:53:02.194171,15:53:08.572192,1,-1.0
1,15:53:02.194171,15:53:08.805508,1,-1.0
1,15:53:02.194171,15:53:09.364862,1,-1.0
1,15:53:02.194171,15:53:09.577261,1,-1.0
1,15:53:02.194171,15:53:09.793881,1,-1.0
1,15:53:02.194171,15:53:10.002575,1,-1.0
1,15:53:02.194171,15:53:10.211290,1,-1.0
1,15:53:02.194171,15:53:10.418484,1,-1.0
1,15:53:02.194171,15:53:10.626382,1,-1.0
1,15:53:02.194171,15:53:10.835276,1,-1.0
1,15:53:02.194171,15:53:11.052088,1,-1.0
1,15:53:02.194171,15:53:11.290903,1,-1.0
1,15:53:02.194171,15:53:11.502063,1,-1.0
1,15:53:02.194171,15:53:11.718354,1,-1.0
1,15:53:02.194171,15:53:11.920664,1,-1.0
1,15:53:02.194171,15:53:12.136666,1,-1.0
1,15:53:02.194171,15:53:12.376589,1,-1.0
1,15:53:02.194171,15:53:12.599623,1,-1.0
1,15:53:02.194171,15:53:12.825327,1,-1.0
1,15:53:02.194171,15:53:13.038688,1,-1.0
1,15:53:02.194171,15:53:13.438331,-1,-1.0
1,15:53:02.194171,15:53:13.657608,-1,-1.0
1,15:53:02.194171,15:53:13.863571,-1,-1.0
1,15:53:02.194171,15:53:14.105054,-1,-1.0
1,15:53:02.194171,15:53:14.312478,-1,-1.0
