Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,20:03:33.447078,20:03:39.151690,-1,-1.0
1,20:03:33.447078,20:03:41.166964,1,-1.0
1,20:03:33.447078,20:03:41.648673,1,-1.0
1,20:03:33.447078,20:03:42.248794,1,-1.0
1,20:03:33.447078,20:03:42.697668,1,-1.0
1,20:03:33.447078,20:03:43.157982,1,-1.0
1,20:03:33.447078,20:03:43.431465,-1,-1.0
1,20:03:33.447078,20:03:43.749221,-1,-1.0
1,20:03:33.447078,20:03:44.011925,-1,-1.0
1,20:03:33.447078,20:03:44.272728,-1,-1.0
1,20:03:33.447078,20:03:44.550621,-1,-1.0
1,20:03:33.447078,20:03:45.429066,-1,-1.0
1,20:03:33.447078,20:03:45.891452,-1,-1.0
1,20:03:33.447078,20:03:46.330115,1,-1.0
1,20:03:33.447078,20:03:46.553999,1,-1.0
1,20:03:33.447078,20:03:46.742824,1,-1.0
1,20:03:33.447078,20:03:46.976398,1,-1.0
1,20:03:33.447078,20:03:47.199603,1,-1.0
1,20:03:33.447078,20:03:47.437722,1,-1.0
1,20:03:33.447078,20:03:47.772296,1,-1.0
1,20:03:33.447078,20:03:48.024498,1,-1.0
1,20:03:33.447078,20:03:48.271110,1,-1.0
1,20:03:33.447078,20:03:48.502255,1,-1.0
1,20:03:33.447078,20:03:48.737799,1,-1.0
1,20:03:33.447078,20:03:48.951452,1,-1.0
1,20:03:33.447078,20:03:49.168275,1,-1.0
1,20:03:33.447078,20:03:49.395529,1,-1.0
1,20:03:33.447078,20:03:49.627877,1,-1.0
1,20:03:33.447078,20:03:49.851146,1,-1.0
1,20:03:33.447078,20:03:50.069818,1,-1.0
1,20:03:33.447078,20:03:50.287377,1,-1.0
1,20:03:33.447078,20:03:50.545644,1,-1.0
1,20:03:33.447078,20:03:50.768808,1,-1.0
1,20:03:33.447078,20:03:50.994249,1,-1.0
1,20:03:33.447078,20:03:51.231118,1,-1.0
1,20:03:33.447078,20:03:51.452606,1,-1.0
1,20:03:33.447078,20:03:51.671702,1,-1.0
1,20:03:33.447078,20:03:51.898780,1,-1.0
1,20:03:33.447078,20:03:52.121763,1,-1.0
1,20:03:33.447078,20:03:52.357700,1,-1.0
1,20:03:33.447078,20:03:52.591827,1,-1.0
1,20:03:33.447078,20:03:52.816376,1,-1.0
1,20:03:33.447078,20:03:53.056901,1,-1.0
1,20:03:33.447078,20:03:53.289604,1,-1.0
1,20:03:33.447078,20:03:53.533218,1,-1.0
1,20:03:33.447078,20:03:53.747478,1,-1.0
1,20:03:33.447078,20:03:53.961816,1,-1.0
1,20:03:33.447078,20:03:54.180783,1,-1.0
1,20:03:33.447078,20:03:54.406495,1,-1.0
1,20:03:33.447078,20:03:54.632490,1,-1.0
1,20:03:33.447078,20:03:54.887617,1,-1.0
1,20:03:33.447078,20:03:55.350461,-1,-1.0
1,20:03:33.447078,20:03:55.554190,-1,-1.0
1,20:03:33.447078,20:03:55.768011,-1,-1.0
1,20:03:33.447078,20:03:55.961275,-1,-1.0
1,20:03:33.447078,20:03:56.175215,-1,-1.0
1,20:03:33.447078,20:03:56.361577,-1,-1.0
1,20:03:33.447078,20:03:56.555537,-1,-1.0
1,20:03:33.447078,20:03:56.757851,-1,-1.0
1,20:03:33.447078,20:03:56.967571,-1,-1.0
1,20:03:33.447078,20:03:57.601222,-1,-1.0
1,20:03:33.447078,20:03:58.112908,1,-1.0
1,20:03:33.447078,20:03:58.347966,1,-1.0
1,20:03:33.447078,20:03:58.550443,1,-1.0
1,20:03:33.447078,20:03:58.788354,1,-1.0
1,20:03:33.447078,20:03:58.991768,1,-1.0
1,20:03:33.447078,20:03:59.199819,1,-1.0
1,20:03:33.447078,20:03:59.431182,1,-1.0
1,20:03:33.447078,20:03:59.675527,1,-1.0
1,20:03:33.447078,20:03:59.896210,1,-1.0
1,20:03:33.447078,20:04:00.142617,1,-1.0
1,20:03:33.447078,20:04:00.382990,1,-1.0
1,20:03:33.447078,20:04:00.606129,1,-1.0
1,20:03:33.447078,20:04:00.840700,1,-1.0
1,20:03:33.447078,20:04:01.103370,1,-1.0
1,20:03:33.447078,20:04:01.351303,1,-1.0
1,20:03:33.447078,20:04:01.562239,1,-1.0
1,20:03:33.447078,20:04:01.789750,1,-1.0
1,20:03:33.447078,20:04:02.013361,1,-1.0
1,20:03:33.447078,20:04:02.220758,1,-1.0
1,20:03:33.447078,20:04:02.459907,1,-1.0
1,20:03:33.447078,20:04:02.678651,1,-1.0
1,20:03:33.447078,20:04:02.928655,1,-1.0
1,20:03:33.447078,20:04:03.188485,1,-1.0
1,20:03:33.447078,20:04:03.598311,-1,-1.0
1,20:03:33.447078,20:04:03.836946,-1,-1.0
1,20:03:33.447078,20:04:04.326591,-1,-1.0
1,20:03:33.447078,20:04:04.702026,1,-1.0
1,20:03:33.447078,20:04:04.939957,1,-1.0
1,20:03:33.447078,20:04:05.159479,1,-1.0
1,20:03:33.447078,20:04:05.384007,1,-1.0
1,20:03:33.447078,20:04:05.653392,1,-1.0
1,20:03:33.447078,20:04:05.888027,1,-1.0
1,20:03:33.447078,20:04:06.120054,1,-1.0
1,20:03:33.447078,20:04:06.366527,1,-1.0
1,20:03:33.447078,20:04:06.614509,1,-1.0
1,20:03:33.447078,20:04:06.853499,1,-1.0
1,20:03:33.447078,20:04:07.101132,1,-1.0
1,20:03:33.447078,20:04:07.384438,1,-1.0
1,20:03:33.447078,20:04:07.654907,1,-1.0
1,20:03:33.447078,20:04:07.909756,1,-1.0
1,20:03:33.447078,20:04:08.157840,1,-1.0
1,20:03:33.447078,20:04:08.429984,1,-1.0
1,20:03:33.447078,20:04:08.682183,1,-1.0
1,20:03:33.447078,20:04:08.957762,1,-1.0
1,20:03:33.447078,20:04:09.222091,1,-1.0
1,20:03:33.447078,20:04:09.486518,1,-1.0
1,20:03:33.447078,20:04:09.752665,1,-1.0
1,20:03:33.447078,20:04:10.030912,1,-1.0
1,20:03:33.447078,20:04:10.329330,1,-1.0
1,20:03:33.447078,20:04:10.597764,1,-1.0
1,20:03:33.447078,20:04:10.885561,1,-1.0
1,20:03:33.447078,20:04:11.176815,1,-1.0
1,20:03:33.447078,20:04:11.453496,1,-1.0
1,20:03:33.447078,20:04:11.723258,1,-1.0
1,20:03:33.447078,20:04:11.990983,1,-1.0
1,20:03:33.447078,20:04:12.279067,1,-1.0
1,20:03:33.447078,20:04:12.560669,1,-1.0
1,20:03:33.447078,20:04:12.854951,1,-1.0
1,20:03:33.447078,20:04:13.138682,1,-1.0
1,20:03:33.447078,20:04:13.412982,1,-1.0
1,20:03:33.447078,20:04:13.687064,1,-1.0
