Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:42:57.096374,18:42:57.862967,-1,-1.0
1,18:42:57.096374,18:42:58.057855,-1,-1.0
1,18:42:57.096374,18:42:58.237962,-1,-1.0
1,18:42:57.096374,18:42:58.414990,-1,-1.0
1,18:42:57.096374,18:42:58.658699,-1,-1.0
1,18:42:57.096374,18:42:58.834676,-1,-1.0
1,18:42:57.096374,18:42:59.014153,-1,-1.0
1,18:42:57.096374,18:42:59.197593,-1,-1.0
1,18:42:57.096374,18:42:59.382599,-1,-1.0
1,18:42:57.096374,18:42:59.589938,-1,-1.0
1,18:42:57.096374,18:42:59.785945,-1,-1.0
1,18:42:57.096374,18:42:59.964042,-1,-1.0
1,18:42:57.096374,18:43:00.153141,-1,-1.0
1,18:42:57.096374,18:43:00.335057,-1,-1.0
1,18:42:57.096374,18:43:00.520145,-1,-1.0
1,18:42:57.096374,18:43:00.699174,-1,-1.0
1,18:42:57.096374,18:43:00.887161,-1,-1.0
1,18:42:57.096374,18:43:01.061156,-1,-1.0
1,18:42:57.096374,18:43:01.236161,1,-1.0
1,18:42:57.096374,18:43:01.461544,1,-1.0
1,18:42:57.096374,18:43:01.630570,1,-1.0
1,18:42:57.096374,18:43:01.811628,1,-1.0
1,18:42:57.096374,18:43:01.976686,1,-1.0
1,18:42:57.096374,18:43:02.145667,1,-1.0
1,18:42:57.096374,18:43:02.328968,-1,-1.0
1,18:42:57.096374,18:43:02.497047,-1,-1.0
1,18:42:57.096374,18:43:02.681111,-1,-1.0
1,18:42:57.096374,18:43:02.871267,-1,-1.0
1,18:42:57.096374,18:43:03.063505,-1,-1.0
1,18:42:57.096374,18:43:03.245511,-1,-1.0
1,18:42:57.096374,18:43:03.412507,-1,-1.0
1,18:42:57.096374,18:43:03.579635,-1,-1.0
1,18:42:57.096374,18:43:03.744630,-1,-1.0
1,18:42:57.096374,18:43:03.935728,-1,-1.0
1,18:42:57.096374,18:43:04.113754,-1,-1.0
1,18:42:57.096374,18:43:04.298646,-1,-1.0
1,18:42:57.096374,18:43:04.485711,1,-1.0
1,18:42:57.096374,18:43:04.665671,1,-1.0
1,18:42:57.096374,18:43:04.847942,1,-1.0
1,18:42:57.096374,18:43:05.030420,1,-1.0
1,18:42:57.096374,18:43:05.213618,1,-1.0
1,18:42:57.096374,18:43:05.396605,1,-1.0
1,18:42:57.096374,18:43:05.589837,1,-1.0
1,18:42:57.096374,18:43:05.764956,1,-1.0
1,18:42:57.096374,18:43:05.950967,1,-1.0
1,18:42:57.096374,18:43:06.137132,1,-1.0
1,18:42:57.096374,18:43:06.314093,1,-1.0
1,18:42:57.096374,18:43:06.532464,1,-1.0
1,18:42:57.096374,18:43:06.715000,1,-1.0
1,18:42:57.096374,18:43:06.902899,1,-1.0
1,18:42:57.096374,18:43:07.080929,1,-1.0
1,18:42:57.096374,18:43:07.264987,1,-1.0
1,18:42:57.096374,18:43:07.462384,1,-1.0
1,18:42:57.096374,18:43:07.667443,1,-1.0
1,18:42:57.096374,18:43:07.848458,1,-1.0
1,18:42:57.096374,18:43:08.032426,1,-1.0
1,18:42:57.096374,18:43:08.212444,1,-1.0
1,18:42:57.096374,18:43:08.392788,1,-1.0
1,18:42:57.096374,18:43:08.563887,1,-1.0
1,18:42:57.096374,18:43:08.746903,1,-1.0
1,18:42:57.096374,18:43:08.930079,1,-1.0
1,18:42:57.096374,18:43:09.116354,1,-1.0
1,18:42:57.096374,18:43:09.337082,1,-1.0
1,18:42:57.096374,18:43:09.514325,1,-1.0
1,18:42:57.096374,18:43:09.697512,1,-1.0
1,18:42:57.096374,18:43:09.877552,1,-1.0
1,18:42:57.096374,18:43:10.051617,1,-1.0
1,18:42:57.096374,18:43:10.261204,1,-1.0
1,18:42:57.096374,18:43:10.429373,1,-1.0
1,18:42:57.096374,18:43:10.598421,1,-1.0
1,18:42:57.096374,18:43:10.784373,1,-1.0
1,18:42:57.096374,18:43:10.968278,1,-1.0
1,18:42:57.096374,18:43:11.188862,1,-1.0
1,18:42:57.096374,18:43:11.365767,1,-1.0
1,18:42:57.096374,18:43:11.547946,1,-1.0
1,18:42:57.096374,18:43:11.731173,1,-1.0
1,18:42:57.096374,18:43:11.915342,1,-1.0
1,18:42:57.096374,18:43:12.131870,1,-1.0
1,18:42:57.096374,18:43:12.315373,1,-1.0
1,18:42:57.096374,18:43:12.499534,1,-1.0
1,18:42:57.096374,18:43:12.679616,1,-1.0
1,18:42:57.096374,18:43:12.846704,1,-1.0
1,18:42:57.096374,18:43:13.063864,-1,-1.0
1,18:42:57.096374,18:43:13.252120,-1,-1.0
1,18:42:57.096374,18:43:13.434407,-1,-1.0
1,18:42:57.096374,18:43:13.616608,-1,-1.0
1,18:42:57.096374,18:43:13.798673,-1,-1.0
1,18:42:57.096374,18:43:13.992698,-1,-1.0
1,18:42:57.096374,18:43:14.165786,-1,-1.0
1,18:42:57.096374,18:43:14.349984,-1,-1.0
1,18:42:57.096374,18:43:14.530987,-1,-1.0
1,18:42:57.096374,18:43:14.711973,-1,-1.0
1,18:42:57.096374,18:43:14.876944,-1,-1.0
1,18:42:57.096374,18:43:15.046268,-1,-1.0
1,18:42:57.096374,18:43:15.214518,-1,-1.0
1,18:42:57.096374,18:43:15.400677,-1,-1.0
1,18:42:57.096374,18:43:15.592217,-1,-1.0
1,18:42:57.096374,18:43:15.764457,-1,-1.0
1,18:42:57.096374,18:43:15.948835,-1,-1.0
1,18:42:57.096374,18:43:16.134898,-1,-1.0
1,18:42:57.096374,18:43:16.318054,-1,-1.0
1,18:42:57.096374,18:43:16.502098,-1,-1.0
1,18:42:57.096374,18:43:16.683256,-1,-1.0
1,18:42:57.096374,18:43:16.872366,-1,-1.0
1,18:42:57.096374,18:43:17.048283,-1,-1.0
1,18:42:57.096374,18:43:17.231374,-1,-1.0
1,18:42:57.096374,18:43:17.460502,-1,-1.0
1,18:42:57.096374,18:43:17.653657,-1,-1.0
1,18:42:57.096374,18:43:17.836277,-1,-1.0
1,18:42:57.096374,18:43:18.013137,-1,-1.0
1,18:42:57.096374,18:43:18.180091,-1,-1.0
1,18:42:57.096374,18:43:18.405719,1,-1.0
1,18:42:57.096374,18:43:18.582771,1,-1.0
1,18:42:57.096374,18:43:18.766057,1,-1.0
1,18:42:57.096374,18:43:18.946189,-1,-1.0
1,18:42:57.096374,18:43:19.119093,-1,-1.0
1,18:42:57.096374,18:43:19.298249,-1,-1.0
1,18:42:57.096374,18:43:19.481275,-1,-1.0
1,18:42:57.096374,18:43:19.667466,-1,-1.0
1,18:42:57.096374,18:43:19.849621,-1,-1.0
1,18:42:57.096374,18:43:20.034537,-1,-1.0
1,18:42:57.096374,18:43:20.261370,-1,-1.0
1,18:42:57.096374,18:43:20.436465,-1,-1.0
1,18:42:57.096374,18:43:20.615530,-1,-1.0
1,18:42:57.096374,18:43:20.798696,-1,-1.0
1,18:42:57.096374,18:43:20.988577,-1,-1.0
1,18:42:57.096374,18:43:21.203987,-1,-1.0
1,18:42:57.096374,18:43:21.387277,-1,-1.0
1,18:42:57.096374,18:43:21.568456,-1,-1.0
1,18:42:57.096374,18:43:21.750564,-1,-1.0
1,18:42:57.096374,18:43:21.935945,-1,-1.0
1,18:42:57.096374,18:43:22.116163,-1,-1.0
1,18:42:57.096374,18:43:22.301042,1,-1.0
1,18:42:57.096374,18:43:22.484353,1,-1.0
1,18:42:57.096374,18:43:22.668479,1,-1.0
1,18:42:57.096374,18:43:22.850546,1,-1.0
1,18:42:57.096374,18:43:23.063621,1,-1.0
1,18:42:57.096374,18:43:23.252548,1,-1.0
1,18:42:57.096374,18:43:23.430589,-1,-1.0
1,18:42:57.096374,18:43:23.616781,-1,-1.0
1,18:42:57.096374,18:43:23.799775,-1,-1.0
1,18:42:57.096374,18:43:24.006955,-1,-1.0
1,18:42:57.096374,18:43:24.182220,-1,-1.0
1,18:42:57.096374,18:43:24.369679,-1,-1.0
1,18:42:57.096374,18:43:24.554498,-1,-1.0
1,18:42:57.096374,18:43:24.737412,-1,-1.0
1,18:42:57.096374,18:43:24.919952,-1,-1.0
1,18:42:57.096374,18:43:25.099913,-1,-1.0
1,18:42:57.096374,18:43:25.286109,-1,-1.0
1,18:42:57.096374,18:43:25.483982,-1,-1.0
1,18:42:57.096374,18:43:25.663941,-1,-1.0
1,18:42:57.096374,18:43:25.868017,-1,-1.0
1,18:42:57.096374,18:43:26.051112,-1,-1.0
1,18:42:57.096374,18:43:26.233231,-1,-1.0
1,18:42:57.096374,18:43:26.415657,1,-1.0
1,18:42:57.096374,18:43:26.601599,1,-1.0
1,18:42:57.096374,18:43:26.784592,1,-1.0
1,18:42:57.096374,18:43:26.965697,1,-1.0
1,18:42:57.096374,18:43:27.204944,1,-1.0
1,18:42:57.096374,18:43:27.385889,1,-1.0
1,18:42:57.096374,18:43:27.567003,1,-1.0
1,18:42:57.096374,18:43:27.768987,1,-1.0
1,18:42:57.096374,18:43:27.954046,1,-1.0
1,18:42:57.096374,18:43:28.135374,1,-1.0
1,18:42:57.096374,18:43:28.317472,1,-1.0
1,18:42:57.096374,18:43:28.500877,1,-1.0
1,18:42:57.096374,18:43:28.686143,1,-1.0
1,18:42:57.096374,18:43:28.868044,1,-1.0
1,18:42:57.096374,18:43:29.050084,1,-1.0
1,18:42:57.096374,18:43:29.235014,1,-1.0
1,18:42:57.096374,18:43:29.420096,1,-1.0
1,18:42:57.096374,18:43:29.600794,1,-1.0
1,18:42:57.096374,18:43:29.785840,1,-1.0
1,18:42:57.096374,18:43:30.006159,1,-1.0
1,18:42:57.096374,18:43:30.185330,1,-1.0
1,18:42:57.096374,18:43:30.367394,1,-1.0
1,18:42:57.096374,18:43:30.548673,1,-1.0
1,18:42:57.096374,18:43:30.742082,1,-1.0
1,18:42:57.096374,18:43:30.936240,1,-1.0
1,18:42:57.096374,18:43:31.114748,1,-1.0
1,18:42:57.096374,18:43:31.299855,1,-1.0
1,18:42:57.096374,18:43:31.481954,1,-1.0
1,18:42:57.096374,18:43:31.669112,1,-1.0
1,18:42:57.096374,18:43:31.852356,1,-1.0
1,18:42:57.096374,18:43:32.029637,1,-1.0
1,18:42:57.096374,18:43:32.197882,1,-1.0
1,18:42:57.096374,18:43:32.381094,1,-1.0
1,18:42:57.096374,18:43:32.570172,1,-1.0
1,18:42:57.096374,18:43:32.752074,1,-1.0
1,18:42:57.096374,18:43:32.934338,1,-1.0
1,18:42:57.096374,18:43:33.118544,1,-1.0
1,18:42:57.096374,18:43:33.304504,1,-1.0
1,18:42:57.096374,18:43:33.485444,1,-1.0
1,18:42:57.096374,18:43:33.686709,1,-1.0
1,18:42:57.096374,18:43:33.869955,1,-1.0
1,18:42:57.096374,18:43:34.053030,1,-1.0
1,18:42:57.096374,18:43:34.276963,1,-1.0
1,18:42:57.096374,18:43:34.448924,1,-1.0
1,18:42:57.096374,18:43:34.673971,1,-1.0
1,18:42:57.096374,18:43:34.852071,-1,-1.0
