Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,20:52:06.311947,20:52:09.860051,1,-1.0
1,20:52:06.311947,20:52:10.172199,1,-1.0
1,20:52:06.311947,20:52:10.419014,1,-1.0
1,20:52:06.311947,20:52:10.659239,1,-1.0
1,20:52:06.311947,20:52:10.859304,1,-1.0
1,20:52:06.311947,20:52:11.069450,1,-1.0
1,20:52:06.311947,20:52:11.296830,1,-1.0
1,20:52:06.311947,20:52:11.529667,1,-1.0
1,20:52:06.311947,20:52:11.743469,1,-1.0
1,20:52:06.311947,20:52:11.943660,1,-1.0
1,20:52:06.311947,20:52:12.159993,1,-1.0
1,20:52:06.311947,20:52:12.377808,1,-1.0
1,20:52:06.311947,20:52:12.605996,1,-1.0
1,20:52:06.311947,20:52:12.821959,1,-1.0
1,20:52:06.311947,20:52:13.031439,1,-1.0
1,20:52:06.311947,20:52:13.264466,1,-1.0
1,20:52:06.311947,20:52:13.466842,1,-1.0
1,20:52:06.311947,20:52:13.706314,1,-1.0
1,20:52:06.311947,20:52:13.922273,1,-1.0
1,20:52:06.311947,20:52:14.278585,1,-1.0
1,20:52:06.311947,20:52:14.502443,1,-1.0
1,20:52:06.311947,20:52:14.731653,1,-1.0
1,20:52:06.311947,20:52:14.984650,1,-1.0
1,20:52:06.311947,20:52:15.214444,1,-1.0
1,20:52:06.311947,20:52:15.445295,1,-1.0
1,20:52:06.311947,20:52:15.672225,1,-1.0
1,20:52:06.311947,20:52:15.989446,-1,-1.0
1,20:52:06.311947,20:52:16.233379,-1,-1.0
1,20:52:06.311947,20:52:16.423503,-1,-1.0
1,20:52:06.311947,20:52:16.625153,-1,-1.0
1,20:52:06.311947,20:52:16.827976,-1,-1.0
1,20:52:06.311947,20:52:17.025694,-1,-1.0
1,20:52:06.311947,20:52:17.295556,-1,-1.0
1,20:52:06.311947,20:52:17.520580,-1,-1.0
1,20:52:06.311947,20:52:17.755467,-1,-1.0
1,20:52:06.311947,20:52:17.959589,-1,-1.0
1,20:52:06.311947,20:52:18.170110,-1,-1.0
1,20:52:06.311947,20:52:18.704445,1,-1.0
1,20:52:06.311947,20:52:18.930732,1,-1.0
1,20:52:06.311947,20:52:19.154679,1,-1.0
1,20:52:06.311947,20:52:19.379011,1,-1.0
1,20:52:06.311947,20:52:19.611355,1,-1.0
1,20:52:06.311947,20:52:19.839757,1,-1.0
1,20:52:06.311947,20:52:20.075296,1,-1.0
1,20:52:06.311947,20:52:20.326529,1,-1.0
1,20:52:06.311947,20:52:20.577100,1,-1.0
1,20:52:06.311947,20:52:20.832285,1,-1.0
1,20:52:06.311947,20:52:21.095839,1,-1.0
1,20:52:06.311947,20:52:21.353320,1,-1.0
1,20:52:06.311947,20:52:21.609422,1,-1.0
1,20:52:06.311947,20:52:21.848551,1,-1.0
1,20:52:06.311947,20:52:22.083655,1,-1.0
1,20:52:06.311947,20:52:22.319822,1,-1.0
1,20:52:06.311947,20:52:22.535871,1,-1.0
1,20:52:06.311947,20:52:22.785300,1,-1.0
1,20:52:06.311947,20:52:23.014607,1,-1.0
1,20:52:06.311947,20:52:23.234448,1,-1.0
1,20:52:06.311947,20:52:23.492691,1,-1.0
1,20:52:06.311947,20:52:23.720731,1,-1.0
1,20:52:06.311947,20:52:23.957602,1,-1.0
1,20:52:06.311947,20:52:24.180129,1,-1.0
1,20:52:06.311947,20:52:24.392736,1,-1.0
1,20:52:06.311947,20:52:24.602753,1,-1.0
1,20:52:06.311947,20:52:24.819865,1,-1.0
1,20:52:06.311947,20:52:25.035247,1,-1.0
1,20:52:06.311947,20:52:25.262910,1,-1.0
1,20:52:06.311947,20:52:25.497229,1,-1.0
1,20:52:06.311947,20:52:25.732353,1,-1.0
1,20:52:06.311947,20:52:25.964178,1,-1.0
1,20:52:06.311947,20:52:26.197142,1,-1.0
1,20:52:06.311947,20:52:26.672533,-1,-1.0
1,20:52:06.311947,20:52:26.969637,-1,-1.0
1,20:52:06.311947,20:52:27.194875,-1,-1.0
1,20:52:06.311947,20:52:27.422491,-1,-1.0
1,20:52:06.311947,20:52:27.697389,-1,-1.0
1,20:52:06.311947,20:52:27.898949,-1,-1.0
1,20:52:06.311947,20:52:28.121056,-1,-1.0
1,20:52:06.311947,20:52:28.347411,-1,-1.0
1,20:52:06.311947,20:52:28.774494,-1,-1.0
1,20:52:06.311947,20:52:29.079845,-1,-1.0
1,20:52:06.311947,20:52:29.505601,1,-1.0
1,20:52:06.311947,20:52:29.751500,1,-1.0
1,20:52:06.311947,20:52:30.003304,1,-1.0
1,20:52:06.311947,20:52:30.232297,1,-1.0
1,20:52:06.311947,20:52:30.462759,1,-1.0
1,20:52:06.311947,20:52:30.705135,1,-1.0
1,20:52:06.311947,20:52:30.931359,1,-1.0
1,20:52:06.311947,20:52:31.193200,1,-1.0
1,20:52:06.311947,20:52:31.398864,1,-1.0
1,20:52:06.311947,20:52:31.628017,1,-1.0
1,20:52:06.311947,20:52:31.890349,1,-1.0
1,20:52:06.311947,20:52:32.095301,1,-1.0
1,20:52:06.311947,20:52:32.320299,1,-1.0
1,20:52:06.311947,20:52:32.547184,1,-1.0
1,20:52:06.311947,20:52:32.769389,1,-1.0
1,20:52:06.311947,20:52:32.994889,1,-1.0
1,20:52:06.311947,20:52:33.241136,1,-1.0
1,20:52:06.311947,20:52:33.464470,1,-1.0
1,20:52:06.311947,20:52:33.697370,1,-1.0
1,20:52:06.311947,20:52:33.942899,1,-1.0
