Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:10:19.287369,14:10:22.238374,-1,-1.0
1,14:10:19.287369,14:10:22.441707,-1,-1.0
1,14:10:19.287369,14:10:22.935859,-1,-1.0
1,14:10:19.287369,14:10:23.631025,-1,-1.0
1,14:10:19.287369,14:10:24.343201,-1,-1.0
1,14:10:19.287369,14:10:39.883107,1,-1.0
1,14:10:19.287369,14:10:41.223605,1,-1.0
1,14:10:19.287369,14:10:42.877109,1,-1.0
1,14:10:19.287369,14:10:43.216922,1,-1.0
1,14:10:19.287369,14:10:43.530791,1,-1.0
1,14:10:19.287369,14:10:43.804378,1,-1.0
1,14:10:19.287369,14:10:44.226880,1,-1.0
1,14:10:19.287369,14:10:46.110636,1,-1.0
1,14:10:19.287369,14:10:46.489862,1,-1.0
1,14:10:19.287369,14:10:47.945599,1,-1.0
1,14:10:19.287369,14:10:48.573380,1,-1.0
1,14:10:19.287369,14:10:58.059748,1,-1.0
1,14:10:19.287369,14:10:58.469525,1,-1.0
1,14:10:19.287369,14:10:58.780861,1,-1.0
1,14:10:19.287369,14:10:59.071786,1,-1.0
1,14:10:19.287369,14:10:59.363955,1,-1.0
1,14:10:19.287369,14:10:59.652225,1,-1.0
1,14:10:19.287369,14:10:59.942152,1,-1.0
1,14:10:19.287369,14:11:00.215396,1,-1.0
1,14:10:19.287369,14:11:00.524711,1,-1.0
1,14:10:19.287369,14:11:00.790621,1,-1.0
1,14:10:19.287369,14:11:01.472400,1,-1.0
1,14:10:19.287369,14:11:01.870570,1,-1.0
1,14:10:19.287369,14:11:02.621993,-1,-1.0
1,14:10:19.287369,14:11:03.299535,-1,-1.0
1,14:10:19.287369,14:11:04.259496,1,-1.0
1,14:10:19.287369,14:11:05.397763,1,-1.0
1,14:10:19.287369,14:11:06.476539,1,-1.0
1,14:10:19.287369,14:11:07.734007,1,-1.0
1,14:10:19.287369,14:11:10.888985,1,-1.0
1,14:10:19.287369,14:11:11.995512,1,-1.0
1,14:10:19.287369,14:11:13.406000,1,-1.0
1,14:10:19.287369,14:11:14.605591,1,-1.0
1,14:10:19.287369,14:11:15.344416,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:11:25.792548,14:11:41.353508,-1,-1.0
2,14:11:25.792548,14:11:42.410157,-1,-1.0
2,14:11:25.792548,14:11:45.081102,-1,-1.0
2,14:11:25.792548,14:11:46.329027,-1,-1.0
2,14:11:25.792548,14:11:47.477579,-1,-1.0
2,14:11:25.792548,14:11:48.931036,1,-1.0
2,14:11:25.792548,14:11:50.011488,1,-1.0
2,14:11:25.792548,14:11:53.061094,1,-1.0
2,14:11:25.792548,14:11:54.452685,1,-1.0
2,14:11:25.792548,14:11:56.626546,1,-1.0
2,14:11:25.792548,14:11:58.000003,1,-1.0
2,14:11:25.792548,14:11:59.159963,1,-1.0
2,14:11:25.792548,14:12:04.774263,-1,-1.0
2,14:11:25.792548,14:12:09.410466,-1,-1.0
2,14:11:25.792548,14:12:11.579258,1,-1.0
2,14:11:25.792548,14:12:13.548392,1,-1.0
2,14:11:25.792548,14:12:17.700787,1,-1.0
2,14:11:25.792548,14:12:19.110045,1,-1.0
2,14:11:25.792548,14:12:19.575823,1,-1.0
2,14:11:25.792548,14:12:20.445339,1,-1.0
2,14:11:25.792548,14:12:21.150156,1,-1.0
2,14:11:25.792548,14:12:21.697645,1,-1.0
2,14:11:25.792548,14:12:22.423409,1,-1.0
2,14:11:25.792548,14:12:23.017432,1,-1.0
2,14:11:25.792548,14:12:23.625370,1,-1.0
2,14:11:25.792548,14:12:24.298446,1,-1.0
2,14:11:25.792548,14:12:25.061933,1,-1.0
2,14:11:25.792548,14:12:25.849228,1,-1.0
2,14:11:25.792548,14:12:26.898662,1,-1.0
2,14:11:25.792548,14:12:28.040299,1,-1.0
2,14:11:25.792548,14:12:31.472222,1,-1.0
2,14:11:25.792548,14:12:32.239748,1,-1.0
2,14:11:25.792548,14:12:33.005749,1,-1.0
2,14:11:25.792548,14:12:33.753292,1,-1.0
2,14:11:25.792548,14:12:34.769474,1,-1.0
2,14:11:25.792548,14:12:35.885783,1,-1.0
2,14:11:25.792548,14:12:36.574282,1,-1.0
2,14:11:25.792548,14:12:37.483287,1,-1.0
2,14:11:25.792548,14:12:41.832901,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,14:12:49.441158,14:12:57.536421,1,-1.0
3,14:12:49.441158,14:12:58.281838,1,-1.0
3,14:12:49.441158,14:12:58.662843,1,-1.0
3,14:12:49.441158,14:12:59.375176,1,-1.0
3,14:12:49.441158,14:12:59.839587,1,-1.0
3,14:12:49.441158,14:13:00.522665,1,-1.0
3,14:12:49.441158,14:13:01.115081,1,-1.0
3,14:12:49.441158,14:13:01.648470,1,-1.0
3,14:12:49.441158,14:13:02.140885,1,-1.0
3,14:12:49.441158,14:13:02.727085,1,-1.0
3,14:12:49.441158,14:13:03.526314,1,-1.0
3,14:12:49.441158,14:13:04.221015,1,-1.0
3,14:12:49.441158,14:13:04.739165,1,-1.0
3,14:12:49.441158,14:13:05.277768,1,-1.0
3,14:12:49.441158,14:13:05.898288,1,-1.0
3,14:12:49.441158,14:13:06.469245,1,-1.0
3,14:12:49.441158,14:13:06.960291,1,-1.0
3,14:12:49.441158,14:13:07.411546,1,-1.0
3,14:12:49.441158,14:13:08.107159,1,-1.0
3,14:12:49.441158,14:13:08.533146,1,-1.0
3,14:12:49.441158,14:13:09.179570,1,-1.0
3,14:12:49.441158,14:13:09.930970,1,-1.0
3,14:12:49.441158,14:13:10.456174,1,-1.0
3,14:12:49.441158,14:13:10.987854,1,-1.0
3,14:12:49.441158,14:13:11.504229,1,-1.0
3,14:12:49.441158,14:13:11.936670,1,-1.0
3,14:12:49.441158,14:13:12.344360,1,-1.0
3,14:12:49.441158,14:13:13.439893,1,-1.0
3,14:12:49.441158,14:13:14.004132,1,-1.0
3,14:12:49.441158,14:13:14.693243,1,-1.0
3,14:12:49.441158,14:13:15.228057,1,-1.0
3,14:12:49.441158,14:13:15.714774,1,-1.0
3,14:12:49.441158,14:13:16.154953,1,-1.0
3,14:12:49.441158,14:13:16.611764,1,-1.0
3,14:12:49.441158,14:13:17.042605,1,-1.0
3,14:12:49.441158,14:13:17.447821,1,-1.0
3,14:12:49.441158,14:13:17.910779,1,-1.0
3,14:12:49.441158,14:13:18.313190,1,-1.0
3,14:12:49.441158,14:13:18.935516,1,-1.0
3,14:12:49.441158,14:13:19.401906,1,-1.0
3,14:12:49.441158,14:13:19.733164,1,-1.0
3,14:12:49.441158,14:13:20.146491,1,-1.0
3,14:12:49.441158,14:13:20.456184,1,-1.0
3,14:12:49.441158,14:13:20.818830,1,-1.0
3,14:12:49.441158,14:13:21.125085,1,-1.0
3,14:12:49.441158,14:13:21.435976,1,-1.0
3,14:12:49.441158,14:13:21.915745,1,-1.0
3,14:12:49.441158,14:13:22.334424,1,-1.0
3,14:12:49.441158,14:13:22.714995,1,-1.0
3,14:12:49.441158,14:13:23.317617,1,-1.0
3,14:12:49.441158,14:13:23.860464,1,-1.0
3,14:12:49.441158,14:13:24.282374,1,-1.0
3,14:12:49.441158,14:13:24.711129,1,-1.0
3,14:12:49.441158,14:13:25.410580,1,-1.0
3,14:12:49.441158,14:13:26.218402,1,-1.0
3,14:12:49.441158,14:13:26.701933,1,-1.0
3,14:12:49.441158,14:13:27.110821,1,-1.0
3,14:12:49.441158,14:13:27.544408,1,-1.0
3,14:12:49.441158,14:13:28.218953,1,-1.0
3,14:12:49.441158,14:13:30.060963,1,-1.0
3,14:12:49.441158,14:13:30.312310,1,-1.0
3,14:12:49.441158,14:13:30.580344,1,-1.0
3,14:12:49.441158,14:13:30.937058,1,-1.0
3,14:12:49.441158,14:13:31.257535,1,-1.0
3,14:12:49.441158,14:13:31.534719,1,-1.0
3,14:12:49.441158,14:13:31.837286,1,-1.0
3,14:12:49.441158,14:13:32.257980,1,-1.0
3,14:12:49.441158,14:13:32.695605,1,-1.0
3,14:12:49.441158,14:13:33.073629,1,-1.0
3,14:12:49.441158,14:13:33.482804,1,-1.0
3,14:12:49.441158,14:13:33.856942,1,-1.0
3,14:12:49.441158,14:13:34.155129,1,-1.0
3,14:12:49.441158,14:13:34.493463,1,-1.0
3,14:12:49.441158,14:13:34.767029,1,-1.0
3,14:12:49.441158,14:13:35.029088,1,-1.0
3,14:12:49.441158,14:13:35.296958,1,-1.0
3,14:12:49.441158,14:13:35.575617,1,-1.0
3,14:12:49.441158,14:13:35.874577,1,-1.0
3,14:12:49.441158,14:13:36.162432,1,-1.0
3,14:12:49.441158,14:13:36.452432,1,-1.0
3,14:12:49.441158,14:13:36.735573,1,-1.0
3,14:12:49.441158,14:13:37.036761,1,-1.0
3,14:12:49.441158,14:13:37.328789,1,-1.0
3,14:12:49.441158,14:13:37.647790,1,-1.0
3,14:12:49.441158,14:13:37.943912,1,-1.0
3,14:12:49.441158,14:13:38.227614,1,-1.0
3,14:12:49.441158,14:13:38.520270,1,-1.0
3,14:12:49.441158,14:13:38.801262,1,-1.0
3,14:12:49.441158,14:13:39.093893,1,-1.0
3,14:12:49.441158,14:13:39.376198,1,-1.0
3,14:12:49.441158,14:13:39.832231,-1,-1.0
3,14:12:49.441158,14:13:40.176266,-1,-1.0
3,14:12:49.441158,14:13:40.432440,-1,-1.0
3,14:12:49.441158,14:13:40.696819,-1,-1.0
3,14:12:49.441158,14:13:41.006363,-1,-1.0
3,14:12:49.441158,14:13:41.292323,-1,-1.0
3,14:12:49.441158,14:13:41.527862,-1,-1.0
3,14:12:49.441158,14:13:41.800501,-1,-1.0
3,14:12:49.441158,14:13:42.065429,-1,-1.0
3,14:12:49.441158,14:13:42.363037,-1,-1.0
3,14:12:49.441158,14:13:42.672585,-1,-1.0
3,14:12:49.441158,14:13:42.969836,-1,-1.0
3,14:12:49.441158,14:13:43.277547,-1,-1.0
3,14:12:49.441158,14:13:43.579853,-1,-1.0
3,14:12:49.441158,14:13:43.937045,-1,-1.0
3,14:12:49.441158,14:13:44.249786,-1,-1.0
3,14:12:49.441158,14:13:44.534066,-1,-1.0
3,14:12:49.441158,14:13:44.825659,-1,-1.0
3,14:12:49.441158,14:13:45.590093,-1,-1.0
3,14:12:49.441158,14:13:46.121139,-1,-1.0
3,14:12:49.441158,14:13:47.953409,1,-1.0
3,14:12:49.441158,14:13:48.416029,1,-1.0
3,14:12:49.441158,14:13:48.883008,1,-1.0
3,14:12:49.441158,14:13:49.401695,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,14:13:49.403637,14:13:49.845343,1,-1.0
4,14:13:49.403637,14:13:50.265138,1,-1.0
4,14:13:49.403637,14:13:50.640189,1,-1.0
4,14:13:49.403637,14:13:51.008458,1,-1.0
4,14:13:49.403637,14:13:51.306054,1,-1.0
4,14:13:49.403637,14:13:51.643309,1,-1.0
4,14:13:49.403637,14:13:51.986250,1,-1.0
4,14:13:49.403637,14:13:52.336893,1,-1.0
4,14:13:49.403637,14:13:52.675873,1,-1.0
4,14:13:49.403637,14:13:52.960332,1,-1.0
4,14:13:49.403637,14:13:53.313625,1,-1.0
4,14:13:49.403637,14:13:53.741793,1,-1.0
4,14:13:49.403637,14:13:54.241065,1,-1.0
4,14:13:49.403637,14:13:54.670124,1,-1.0
4,14:13:49.403637,14:13:55.081287,1,-1.0
4,14:13:49.403637,14:13:55.479403,1,-1.0
4,14:13:49.403637,14:13:55.960445,1,-1.0
4,14:13:49.403637,14:13:56.763159,1,-1.0
4,14:13:49.403637,14:13:57.459993,1,-1.0
4,14:13:49.403637,14:13:58.140679,1,-1.0
4,14:13:49.403637,14:13:58.632171,1,-1.0
4,14:13:49.403637,14:13:58.976207,1,-1.0
4,14:13:49.403637,14:13:59.913888,-1,-1.0
4,14:13:49.403637,14:14:00.403567,-1,-1.0
4,14:13:49.403637,14:14:00.887598,1,-1.0
4,14:13:49.403637,14:14:01.318507,1,-1.0
4,14:13:49.403637,14:14:01.732046,1,-1.0
4,14:13:49.403637,14:14:02.303497,1,-1.0
4,14:13:49.403637,14:14:02.921649,-1,-1.0
4,14:13:49.403637,14:14:03.300349,-1,-1.0
4,14:13:49.403637,14:14:03.726273,-1,-1.0
4,14:13:49.403637,14:14:04.111332,-1,-1.0
4,14:13:49.403637,14:14:04.548296,1,-1.0
4,14:13:49.403637,14:14:05.220236,-1,-1.0
4,14:13:49.403637,14:14:05.734587,-1,-1.0
4,14:13:49.403637,14:14:06.251216,1,-1.0
4,14:13:49.403637,14:14:07.120934,1,-1.0
4,14:13:49.403637,14:14:07.479655,1,-1.0
4,14:13:49.403637,14:14:07.826313,1,-1.0
4,14:13:49.403637,14:14:08.231184,1,-1.0
4,14:13:49.403637,14:14:08.640185,1,-1.0
4,14:13:49.403637,14:14:09.018121,1,-1.0
4,14:13:49.403637,14:14:09.401146,1,-1.0
4,14:13:49.403637,14:14:09.824185,1,-1.0
4,14:13:49.403637,14:14:10.293600,1,-1.0
4,14:13:49.403637,14:14:11.476110,1,-1.0
4,14:13:49.403637,14:14:12.101098,-1,-1.0
4,14:13:49.403637,14:14:12.454381,-1,-1.0
4,14:13:49.403637,14:14:13.265181,1,-1.0
4,14:13:49.403637,14:14:13.754620,1,-1.0
4,14:13:49.403637,14:14:14.268366,1,-1.0
4,14:13:49.403637,14:14:14.743266,1,-1.0
4,14:13:49.403637,14:14:15.096637,1,-1.0
4,14:13:49.403637,14:14:15.712962,1,-1.0
4,14:13:49.403637,14:14:16.191815,1,-1.0
4,14:13:49.403637,14:14:16.670201,1,-1.0
4,14:13:49.403637,14:14:17.163354,1,-1.0
4,14:13:49.403637,14:14:17.663797,1,-1.0
4,14:13:49.403637,14:14:18.164452,1,-1.0
4,14:13:49.403637,14:14:18.664692,1,-1.0
4,14:13:49.403637,14:14:19.111591,1,-1.0
4,14:13:49.403637,14:14:19.469708,1,-1.0
4,14:13:49.403637,14:14:19.871006,1,-1.0
4,14:13:49.403637,14:14:20.239798,1,-1.0
