Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:22:04.744149,21:22:05.414735,-1,-1.0
1,21:22:04.744149,21:22:05.620630,-1,-1.0
1,21:22:04.744149,21:22:05.787734,-1,-1.0
1,21:22:04.744149,21:22:05.953979,-1,-1.0
1,21:22:04.744149,21:22:06.138586,-1,-1.0
1,21:22:04.744149,21:22:06.306723,-1,-1.0
1,21:22:04.744149,21:22:06.472100,-1,-1.0
1,21:22:04.744149,21:22:06.660423,-1,-1.0
1,21:22:04.744149,21:22:06.795135,-1,-1.0
1,21:22:04.744149,21:22:06.963729,1,-1.0
1,21:22:04.744149,21:22:07.118924,1,-1.0
1,21:22:04.744149,21:22:07.286797,1,-1.0
1,21:22:04.744149,21:22:07.458437,1,-1.0
1,21:22:04.744149,21:22:07.623683,1,-1.0
1,21:22:04.744149,21:22:07.788054,1,-1.0
1,21:22:04.744149,21:22:07.955531,1,-1.0
1,21:22:04.744149,21:22:08.124051,1,-1.0
1,21:22:04.744149,21:22:08.287448,1,-1.0
1,21:22:04.744149,21:22:08.453957,1,-1.0
1,21:22:04.744149,21:22:08.625733,1,-1.0
1,21:22:04.744149,21:22:08.788994,1,-1.0
1,21:22:04.744149,21:22:08.955482,1,-1.0
1,21:22:04.744149,21:22:09.122792,1,-1.0
1,21:22:04.744149,21:22:09.290954,1,-1.0
1,21:22:04.744149,21:22:09.455706,1,-1.0
1,21:22:04.744149,21:22:09.625171,1,-1.0
1,21:22:04.744149,21:22:09.789071,1,-1.0
1,21:22:04.744149,21:22:09.955709,1,-1.0
1,21:22:04.744149,21:22:10.121730,1,-1.0
1,21:22:04.744149,21:22:10.290987,1,-1.0
1,21:22:04.744149,21:22:10.456458,1,-1.0
1,21:22:04.744149,21:22:10.626092,1,-1.0
1,21:22:04.744149,21:22:10.791433,1,-1.0
1,21:22:04.744149,21:22:10.953631,1,-1.0
1,21:22:04.744149,21:22:11.124884,1,-1.0
1,21:22:04.744149,21:22:11.287985,1,-1.0
1,21:22:04.744149,21:22:11.455524,1,-1.0
1,21:22:04.744149,21:22:11.626894,1,-1.0
