Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:37:42.438546,12:37:44.665776,1,-1.0
1,12:37:42.438546,12:37:45.524861,1,-1.0
1,12:37:42.438546,12:37:51.778237,-1,-1.0
1,12:37:42.438546,12:37:52.421860,-1,-1.0
1,12:37:42.438546,12:37:53.158370,-1,-1.0
1,12:37:42.438546,12:37:56.553652,1,-1.0
1,12:37:42.438546,12:37:57.096234,1,-1.0
1,12:37:42.438546,12:37:57.729856,1,-1.0
1,12:37:42.438546,12:37:58.427482,1,-1.0
1,12:37:42.438546,12:38:05.753277,1,-1.0
1,12:37:42.438546,12:38:06.315833,1,-1.0
1,12:37:42.438546,12:38:06.832508,1,-1.0
1,12:37:42.438546,12:38:08.268865,1,-1.0
1,12:37:42.438546,12:38:09.005662,1,-1.0
1,12:37:42.438546,12:38:10.630897,1,-1.0
1,12:37:42.438546,12:38:11.485027,1,-1.0
1,12:37:42.438546,12:38:13.596983,1,-1.0
1,12:37:42.438546,12:38:19.503313,1,-1.0
1,12:37:42.438546,12:38:20.092012,1,-1.0
1,12:37:42.438546,12:38:20.801787,1,-1.0
1,12:37:42.438546,12:38:21.519508,1,-1.0
1,12:37:42.438546,12:38:22.042613,1,-1.0
1,12:37:42.438546,12:38:22.617492,1,-1.0
1,12:37:42.438546,12:38:23.163707,1,-1.0
1,12:37:42.438546,12:38:23.676405,1,-1.0
1,12:37:42.438546,12:38:24.166690,1,-1.0
1,12:37:42.438546,12:38:24.754065,1,-1.0
1,12:37:42.438546,12:38:29.439110,1,-1.0
1,12:37:42.438546,12:38:29.874865,1,-1.0
1,12:37:42.438546,12:38:30.433506,1,-1.0
1,12:37:42.438546,12:38:31.070249,1,-1.0
1,12:37:42.438546,12:38:31.580875,1,-1.0
1,12:37:42.438546,12:38:32.451212,-1,-1.0
1,12:37:42.438546,12:38:32.874493,-1,-1.0
1,12:37:42.438546,12:38:33.352096,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:38:42.220758,12:39:30.872805,1,-1.0
2,12:38:42.220758,12:39:31.104658,1,-1.0
2,12:38:42.220758,12:39:33.994800,1,-1.0
2,12:38:42.220758,12:39:34.361587,1,-1.0
2,12:38:42.220758,12:39:35.227228,1,-1.0
2,12:38:42.220758,12:39:35.853244,1,-1.0
2,12:38:42.220758,12:39:36.335740,-1,-1.0
2,12:38:42.220758,12:39:36.777389,-1,-1.0
2,12:38:42.220758,12:39:37.225910,-1,-1.0
2,12:38:42.220758,12:39:38.486582,1,-1.0
2,12:38:42.220758,12:39:38.692691,1,-1.0
2,12:38:42.220758,12:39:39.060916,-1,-1.0
2,12:38:42.220758,12:39:39.436809,-1,-1.0
2,12:38:42.220758,12:39:39.815512,-1,-1.0
2,12:38:42.220758,12:39:40.087990,1,-1.0
2,12:38:42.220758,12:39:40.231857,1,-1.0
2,12:38:42.220758,12:39:40.382530,1,-1.0
2,12:38:42.220758,12:39:40.592987,1,-1.0
2,12:38:42.220758,12:39:40.808507,1,-1.0
2,12:38:42.220758,12:39:41.209519,-1,-1.0
2,12:38:42.220758,12:39:41.426392,-1,-1.0
2,12:38:42.220758,12:39:41.602518,-1,-1.0
2,12:38:42.220758,12:39:41.769200,-1,-1.0
2,12:38:42.220758,12:39:42.077834,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:39:42.080837,12:39:42.252619,1,-1.0
3,12:39:42.080837,12:39:43.866828,1,-1.0
3,12:39:42.080837,12:39:44.116778,1,-1.0
3,12:39:42.080837,12:39:44.325752,1,-1.0
3,12:39:42.080837,12:39:44.565909,1,-1.0
3,12:39:42.080837,12:39:45.437710,-1,-1.0
3,12:39:42.080837,12:39:45.632265,-1,-1.0
3,12:39:42.080837,12:39:45.820505,-1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
