Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:15:13.301783,17:15:14.164453,1,-1.0
1,17:15:13.301783,17:15:14.403336,1,-1.0
1,17:15:13.301783,17:15:14.620325,1,-1.0
1,17:15:13.301783,17:15:14.867425,1,-1.0
1,17:15:13.301783,17:15:15.283342,1,-1.0
1,17:15:13.301783,17:15:15.507245,1,-1.0
1,17:15:13.301783,17:15:15.723716,1,-1.0
1,17:15:13.301783,17:15:15.939020,1,-1.0
1,17:15:13.301783,17:15:16.148057,1,-1.0
1,17:15:13.301783,17:15:16.364238,1,-1.0
1,17:15:13.301783,17:15:16.571925,1,-1.0
1,17:15:13.301783,17:15:16.793683,1,-1.0
1,17:15:13.301783,17:15:17.015845,1,-1.0
1,17:15:13.301783,17:15:17.236519,1,-1.0
1,17:15:13.301783,17:15:17.426561,1,-1.0
1,17:15:13.301783,17:15:17.642025,1,-1.0
1,17:15:13.301783,17:15:17.857928,1,-1.0
1,17:15:13.301783,17:15:18.043998,1,-1.0
1,17:15:13.301783,17:15:18.248197,1,-1.0
1,17:15:13.301783,17:15:18.435631,1,-1.0
1,17:15:13.301783,17:15:18.640157,1,-1.0
1,17:15:13.301783,17:15:18.846835,1,-1.0
1,17:15:13.301783,17:15:19.056444,1,-1.0
1,17:15:13.301783,17:15:19.273883,1,-1.0
1,17:15:13.301783,17:15:19.470970,1,-1.0
1,17:15:13.301783,17:15:19.685268,1,-1.0
1,17:15:13.301783,17:15:19.913313,1,-1.0
1,17:15:13.301783,17:15:20.125848,1,-1.0
1,17:15:13.301783,17:15:20.360956,1,-1.0
1,17:15:13.301783,17:15:20.566274,1,-1.0
1,17:15:13.301783,17:15:20.796095,1,-1.0
1,17:15:13.301783,17:15:21.032748,1,-1.0
1,17:15:13.301783,17:15:21.263379,1,-1.0
1,17:15:13.301783,17:15:21.487883,1,-1.0
1,17:15:13.301783,17:15:21.721953,1,-1.0
1,17:15:13.301783,17:15:21.967437,1,-1.0
1,17:15:13.301783,17:15:22.381334,-1,-1.0
1,17:15:13.301783,17:15:22.575175,-1,-1.0
1,17:15:13.301783,17:15:22.779985,-1,-1.0
1,17:15:13.301783,17:15:22.965695,-1,-1.0
1,17:15:13.301783,17:15:23.179276,-1,-1.0
1,17:15:13.301783,17:15:23.356044,-1,-1.0
1,17:15:13.301783,17:15:23.596659,-1,-1.0
1,17:15:13.301783,17:15:23.754129,-1,-1.0
1,17:15:13.301783,17:15:23.955363,-1,-1.0
1,17:15:13.301783,17:15:24.151071,-1,-1.0
1,17:15:13.301783,17:15:24.351661,-1,-1.0
1,17:15:13.301783,17:15:24.562871,-1,-1.0
1,17:15:13.301783,17:15:25.077203,1,-1.0
1,17:15:13.301783,17:15:25.296462,1,-1.0
1,17:15:13.301783,17:15:25.482274,1,-1.0
1,17:15:13.301783,17:15:25.707562,1,-1.0
1,17:15:13.301783,17:15:25.911711,1,-1.0
1,17:15:13.301783,17:15:26.122286,1,-1.0
1,17:15:13.301783,17:15:26.341358,1,-1.0
1,17:15:13.301783,17:15:26.571860,1,-1.0
1,17:15:13.301783,17:15:26.794074,1,-1.0
1,17:15:13.301783,17:15:27.008585,1,-1.0
1,17:15:13.301783,17:15:27.234683,1,-1.0
1,17:15:13.301783,17:15:27.451347,1,-1.0
1,17:15:13.301783,17:15:27.673716,1,-1.0
1,17:15:13.301783,17:15:27.890840,1,-1.0
1,17:15:13.301783,17:15:28.099752,1,-1.0
1,17:15:13.301783,17:15:28.335892,1,-1.0
1,17:15:13.301783,17:15:28.570822,1,-1.0
1,17:15:13.301783,17:15:28.804723,1,-1.0
1,17:15:13.301783,17:15:29.025114,1,-1.0
1,17:15:13.301783,17:15:29.253957,1,-1.0
1,17:15:13.301783,17:15:29.488547,1,-1.0
1,17:15:13.301783,17:15:29.703756,1,-1.0
1,17:15:13.301783,17:15:29.925756,1,-1.0
1,17:15:13.301783,17:15:30.141619,1,-1.0
1,17:15:13.301783,17:15:30.393290,1,-1.0
1,17:15:13.301783,17:15:30.611149,1,-1.0
1,17:15:13.301783,17:15:30.849927,1,-1.0
1,17:15:13.301783,17:15:31.082687,1,-1.0
1,17:15:13.301783,17:15:31.315468,1,-1.0
1,17:15:13.301783,17:15:31.561742,1,-1.0
1,17:15:13.301783,17:15:31.811185,1,-1.0
1,17:15:13.301783,17:15:32.059240,1,-1.0
1,17:15:13.301783,17:15:32.280933,1,-1.0
1,17:15:13.301783,17:15:32.554271,1,-1.0
1,17:15:13.301783,17:15:32.813984,1,-1.0
1,17:15:13.301783,17:15:33.082965,1,-1.0
1,17:15:13.301783,17:15:33.305941,1,-1.0
1,17:15:13.301783,17:15:33.870883,-1,-1.0
1,17:15:13.301783,17:15:34.097797,-1,-1.0
1,17:15:13.301783,17:15:34.296212,-1,-1.0
1,17:15:13.301783,17:15:34.505883,-1,-1.0
1,17:15:13.301783,17:15:34.744624,-1,-1.0
1,17:15:13.301783,17:15:34.966711,-1,-1.0
1,17:15:13.301783,17:15:35.195347,-1,-1.0
1,17:15:13.301783,17:15:35.394401,-1,-1.0
1,17:15:13.301783,17:15:35.701384,1,-1.0
1,17:15:13.301783,17:15:35.926236,1,-1.0
1,17:15:13.301783,17:15:36.151867,1,-1.0
1,17:15:13.301783,17:15:36.366671,1,-1.0
1,17:15:13.301783,17:15:36.584983,1,-1.0
