Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:19:10.720790,21:19:11.431757,-1,-1.0
1,21:19:10.720790,21:19:11.606779,-1,-1.0
1,21:19:10.720790,21:19:11.752930,-1,-1.0
1,21:19:10.720790,21:19:11.900705,1,-1.0
1,21:19:10.720790,21:19:12.073617,1,-1.0
1,21:19:10.720790,21:19:12.241572,1,-1.0
1,21:19:10.720790,21:19:12.409569,1,-1.0
1,21:19:10.720790,21:19:12.571698,1,-1.0
1,21:19:10.720790,21:19:12.738132,1,-1.0
1,21:19:10.720790,21:19:12.902139,1,-1.0
1,21:19:10.720790,21:19:13.070229,1,-1.0
1,21:19:10.720790,21:19:13.237064,1,-1.0
1,21:19:10.720790,21:19:13.405822,-1,-1.0
1,21:19:10.720790,21:19:13.573602,-1,-1.0
1,21:19:10.720790,21:19:13.739790,-1,-1.0
1,21:19:10.720790,21:19:13.903997,-1,-1.0
1,21:19:10.720790,21:19:14.074787,-1,-1.0
1,21:19:10.720790,21:19:14.240393,-1,-1.0
1,21:19:10.720790,21:19:14.406772,-1,-1.0
1,21:19:10.720790,21:19:14.571523,-1,-1.0
1,21:19:10.720790,21:19:14.740778,-1,-1.0
1,21:19:10.720790,21:19:14.908068,-1,-1.0
1,21:19:10.720790,21:19:15.073778,1,-1.0
1,21:19:10.720790,21:19:15.239433,-1,-1.0
1,21:19:10.720790,21:19:15.406677,1,-1.0
1,21:19:10.720790,21:19:15.571399,-1,-1.0
1,21:19:10.720790,21:19:15.738749,1,-1.0
1,21:19:10.720790,21:19:15.905872,1,-1.0
1,21:19:10.720790,21:19:16.074117,1,-1.0
1,21:19:10.720790,21:19:16.237899,1,-1.0
1,21:19:10.720790,21:19:16.406003,1,-1.0
1,21:19:10.720790,21:19:16.569880,1,-1.0
1,21:19:10.720790,21:19:16.739915,1,-1.0
1,21:19:10.720790,21:19:16.903918,1,-1.0
1,21:19:10.720790,21:19:17.076916,1,-1.0
1,21:19:10.720790,21:19:17.240855,1,-1.0
1,21:19:10.720790,21:19:17.410908,1,-1.0
1,21:19:10.720790,21:19:17.571618,1,-1.0
1,21:19:10.720790,21:19:17.740213,1,-1.0
1,21:19:10.720790,21:19:17.902923,1,-1.0
1,21:19:10.720790,21:19:18.078396,1,-1.0
1,21:19:10.720790,21:19:18.240583,1,-1.0
1,21:19:10.720790,21:19:18.406108,1,-1.0
1,21:19:10.720790,21:19:18.570680,1,-1.0
1,21:19:10.720790,21:19:18.738935,1,-1.0
1,21:19:10.720790,21:19:18.905216,1,-1.0
1,21:19:10.720790,21:19:19.074537,1,-1.0
1,21:19:10.720790,21:19:19.239166,1,-1.0
1,21:19:10.720790,21:19:19.409857,1,-1.0
1,21:19:10.720790,21:19:19.572824,1,-1.0
1,21:19:10.720790,21:19:19.738225,1,-1.0
1,21:19:10.720790,21:19:19.905306,1,-1.0
1,21:19:10.720790,21:19:20.071764,1,-1.0
1,21:19:10.720790,21:19:20.240073,1,-1.0
1,21:19:10.720790,21:19:20.403023,1,-1.0
1,21:19:10.720790,21:19:20.572783,1,-1.0
1,21:19:10.720790,21:19:20.741068,1,-1.0
1,21:19:10.720790,21:19:20.907101,1,-1.0
1,21:19:10.720790,21:19:21.075099,1,-1.0
1,21:19:10.720790,21:19:21.236366,1,-1.0
1,21:19:10.720790,21:19:21.405200,1,-1.0
1,21:19:10.720790,21:19:21.594686,1,-1.0
1,21:19:10.720790,21:19:21.731737,-1,-1.0
1,21:19:10.720790,21:19:21.905945,-1,-1.0
1,21:19:10.720790,21:19:22.073584,-1,-1.0
1,21:19:10.720790,21:19:22.238815,-1,-1.0
1,21:19:10.720790,21:19:22.406972,-1,-1.0
1,21:19:10.720790,21:19:22.572155,-1,-1.0
1,21:19:10.720790,21:19:22.739912,-1,-1.0
1,21:19:10.720790,21:19:22.905982,-1,-1.0
1,21:19:10.720790,21:19:23.074051,-1,-1.0
1,21:19:10.720790,21:19:23.239181,-1,-1.0
1,21:19:10.720790,21:19:23.402890,-1,-1.0
1,21:19:10.720790,21:19:23.571923,-1,-1.0
1,21:19:10.720790,21:19:23.740467,-1,-1.0
1,21:19:10.720790,21:19:23.906170,-1,-1.0
1,21:19:10.720790,21:19:24.074922,-1,-1.0
1,21:19:10.720790,21:19:24.238192,1,-1.0
1,21:19:10.720790,21:19:24.404812,1,-1.0
1,21:19:10.720790,21:19:24.570886,1,-1.0
1,21:19:10.720790,21:19:24.762602,1,-1.0
1,21:19:10.720790,21:19:24.892890,1,-1.0
1,21:19:10.720790,21:19:25.054147,-1,-1.0
1,21:19:10.720790,21:19:25.222513,-1,-1.0
1,21:19:10.720790,21:19:25.388050,-1,-1.0
1,21:19:10.720790,21:19:25.555005,-1,-1.0
1,21:19:10.720790,21:19:25.721231,-1,-1.0
1,21:19:10.720790,21:19:25.889175,-1,-1.0
1,21:19:10.720790,21:19:26.055731,-1,-1.0
1,21:19:10.720790,21:19:26.222568,-1,-1.0
1,21:19:10.720790,21:19:26.387943,-1,-1.0
1,21:19:10.720790,21:19:26.553131,1,-1.0
