Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,17:14:06.515487,17:14:08.812718,1,-1.0
1,17:14:06.515487,17:14:09.054427,1,-1.0
1,17:14:06.515487,17:14:09.321107,1,-1.0
1,17:14:06.515487,17:14:09.825940,1,-1.0
1,17:14:06.515487,17:14:10.059770,1,-1.0
1,17:14:06.515487,17:14:10.282955,1,-1.0
1,17:14:06.515487,17:14:10.496694,1,-1.0
1,17:14:06.515487,17:14:10.725700,1,-1.0
1,17:14:06.515487,17:14:10.950695,1,-1.0
1,17:14:06.515487,17:14:11.166988,1,-1.0
1,17:14:06.515487,17:14:11.385593,1,-1.0
1,17:14:06.515487,17:14:11.604923,1,-1.0
1,17:14:06.515487,17:14:11.825624,1,-1.0
1,17:14:06.515487,17:14:12.054142,1,-1.0
1,17:14:06.515487,17:14:12.298615,1,-1.0
1,17:14:06.515487,17:14:12.507057,1,-1.0
1,17:14:06.515487,17:14:12.736648,1,-1.0
1,17:14:06.515487,17:14:12.960892,1,-1.0
1,17:14:06.515487,17:14:13.177148,1,-1.0
1,17:14:06.515487,17:14:13.399960,1,-1.0
1,17:14:06.515487,17:14:13.608411,1,-1.0
1,17:14:06.515487,17:14:13.803226,1,-1.0
1,17:14:06.515487,17:14:14.019450,1,-1.0
1,17:14:06.515487,17:14:14.236192,1,-1.0
1,17:14:06.515487,17:14:14.454439,1,-1.0
1,17:14:06.515487,17:14:14.669174,1,-1.0
1,17:14:06.515487,17:14:14.874555,1,-1.0
1,17:14:06.515487,17:14:15.085179,1,-1.0
1,17:14:06.515487,17:14:15.302190,1,-1.0
1,17:14:06.515487,17:14:15.529117,1,-1.0
1,17:14:06.515487,17:14:15.754120,1,-1.0
1,17:14:06.515487,17:14:16.336747,-1,-1.0
1,17:14:06.515487,17:14:16.658513,-1,-1.0
1,17:14:06.515487,17:14:16.854462,-1,-1.0
1,17:14:06.515487,17:14:17.042536,-1,-1.0
1,17:14:06.515487,17:14:17.225309,-1,-1.0
1,17:14:06.515487,17:14:17.428135,-1,-1.0
1,17:14:06.515487,17:14:17.625276,-1,-1.0
1,17:14:06.515487,17:14:17.829272,-1,-1.0
1,17:14:06.515487,17:14:18.027076,-1,-1.0
1,17:14:06.515487,17:14:18.237207,-1,-1.0
1,17:14:06.515487,17:14:18.424565,-1,-1.0
1,17:14:06.515487,17:14:18.623269,-1,-1.0
1,17:14:06.515487,17:14:18.841647,-1,-1.0
1,17:14:06.515487,17:14:19.283099,1,-1.0
1,17:14:06.515487,17:14:19.551114,-1,-1.0
1,17:14:06.515487,17:14:19.736640,-1,-1.0
1,17:14:06.515487,17:14:19.938050,-1,-1.0
1,17:14:06.515487,17:14:20.126751,-1,-1.0
1,17:14:06.515487,17:14:20.597004,-1,-1.0
1,17:14:06.515487,17:14:21.148266,-1,-1.0
1,17:14:06.515487,17:14:21.701626,1,-1.0
1,17:14:06.515487,17:14:21.918815,1,-1.0
1,17:14:06.515487,17:14:22.128149,1,-1.0
1,17:14:06.515487,17:14:22.324203,1,-1.0
1,17:14:06.515487,17:14:22.545522,1,-1.0
1,17:14:06.515487,17:14:22.762264,1,-1.0
1,17:14:06.515487,17:14:22.980677,1,-1.0
